lot	product	step	tool	machine	start_time	end_time
1120	3	149	litho_fe_111	981	0.0	4752.0
301	4	214	lithotrack_fe_95	1152	0.0	4869.0
200	3	495	we_be_9	1361	0.0	855.0
299	3	441	de_be_67	95	0.0	5206.0
695	3	285	tf_fe_103	1304	0.0	5353.0
1431	3	1	diffusion_fe_120	858	0.0	30079.0
1106	3	158	lithotrack_fe_115	1101	0.0	4392.0
591	4	98	planar_fe_77	1226	0.0	2586.0
1027	3	180	implant_128	917	0.0	1114.0
1427	3	1	diffusion_fe_120	859	0.0	30079.0
787	3	280	defmet_fe_10	365	0.0	876.0
906	3	253	de_fe_62	163	0.0	10126.0
51	3	571	de_be_48	40	0.0	9763.0
382	3	428	lithotrack_be_117	1096	0.0	2709.0
663	3	319	dielectric_fe_130	824	0.0	3195.0
1173	3	102	planar_fe_77	1227	0.0	2586.0
145	4	278	litho_be_110	947	0.0	4311.0
375	4	189	diffusion_fe_44	890	0.0	26880.0
364	3	431	de_be_50	50	0.0	5060.0
637	3	319	dielectric_fe_130	825	0.0	3195.0
108	4	309	tf_be_23	1241	0.0	4072.0
634	4	81	litho_fe_111	982	0.0	2538.0
896	3	240	we_fe_108	1368	0.0	690.0
541	4	142	litho_fe_111	983	0.0	3015.0
947	3	237	de_fe_58	145	0.0	5306.0
1249	3	89	we_fe_108	1369	0.0	1340.0
718	4	45	de_fe_54	138	0.0	5869.0
82	3	533	we_be_82	1351	0.0	759.0
419	3	414	diffusion_be_123	837	0.0	27634.0
843	3	261	diffusion_fe_126	878	0.0	28463.0
688	3	306	litho_fe_111	984	0.0	4662.0
671	4	72	de_fe_86	227	0.0	8349.0
398	3	281	diffusion_fe_101	851	0.0	29966.0
608	3	339	we_fe_108	1370	0.0	1279.0
339	3	431	de_be_50	51	0.0	5060.0
72	3	564	tf_be_2	1237	0.0	3825.0
472	3	390	litho_fe_92	1005	0.0	3204.0
666	4	75	litho_fe_111	985	0.0	4158.0
202	4	257	de_be_50	52	0.0	10386.0
245	4	248	dielectric_be_27	791	0.0	2562.0
1191	3	101	diffusion_fe_127	881	0.0	19064.0
551	3	349	lithotrack_fe_115	1102	0.0	2484.0
1322	3	55	dielectric_fe_112	814	0.0	1999.0
76	3	531	dielectric_be_21	783	0.0	2152.0
313	3	442	we_be_16	1336	0.0	1285.0
549	3	351	litho_fe_92	1006	0.0	3519.0
410	4	177	diffusion_fe_94	901	0.0	28381.0
359	4	181	tf_fe_104	1308	0.0	4177.0
631	3	337	dielectric_fe_29	828	0.0	2802.0
1091	3	162	de_fe_51	114	0.0	7560.0
420	4	149	litho_fe_111	986	0.0	3726.0
817	4	1	diffusion_fe_120	860	0.0	30079.0
144	4	257	de_be_50	53	0.0	10386.0
1283	3	72	litho_fe_98	1038	0.0	4950.0
454	4	103	we_fe_8	1414	0.0	902.0
465	3	394	de_be_50	54	0.0	4192.0
1341	3	40	de_fe_71	190	0.0	4857.0
252	3	467	tf_be_40	1280	0.0	4196.0
347	3	399	litho_fe_92	1007	0.0	4923.0
547	3	370	tf_fe_113	1313	0.0	4744.0
209	4	245	tf_be_23	1242	0.0	5219.0
152	4	284	litho_be_110	948	0.0	4140.0
461	3	399	litho_fe_92	1008	0.0	4923.0
39	4	342	tf_be_26	1265	0.0	3812.0
317	4	205	de_fe_86	228	0.0	5985.0
988	3	198	litho_reg_fe_64	1051	0.0	1226.0
1174	3	102	planar_fe_77	1226	2586.0	5172.0
1391	3	18	de_fe_1	107	0.0	8114.0
398	4	183	we_fe_84	1423	0.0	991.0
779	4	16	litho_fe_92	1009	0.0	3960.0
257	3	459	litho_reg_be_63	1043	0.0	1446.0
719	3	76	de_fe_86	229	0.0	8349.0
139	4	272	tf_be_40	1281	0.0	4965.0
630	4	81	litho_fe_111	987	0.0	2538.0
679	4	68	litho_fe_98	1039	0.0	4950.0
692	4	61	litho_fe_111	988	0.0	2879.0
1352	3	38	de_fe_59	148	0.0	6506.0
147	3	501	we_be_9	1362	0.0	1203.0
1231	3	85	litho_fe_111	989	0.0	2538.0
424	3	390	litho_fe_92	1010	0.0	3204.0
77	3	550	planar_be_75	1203	0.0	4013.0
699	4	57	we_fe_108	1371	0.0	1231.0
552	4	114	de_fe_71	191	0.0	5998.0
3	3	538	we_be_9	1363	0.0	1135.0
1338	3	45	de_fe_86	230	0.0	6302.0
939	3	237	de_fe_58	146	0.0	5306.0
944	3	224	diffusion_fe_101	852	0.0	32172.0
614	3	337	dielectric_fe_29	829	0.0	2802.0
129	4	267	we_be_9	1364	0.0	1026.0
462	3	390	litho_fe_92	1011	0.0	3204.0
109	4	300	lithotrack_fe_95	1153	0.0	4797.0
268	4	219	diffusion_be_123	838	0.0	27634.0
503	4	142	litho_fe_111	990	0.0	3015.0
116	4	301	litho_be_110	949	0.0	3960.0
13	3	576	dielectric_be_28	806	0.0	2090.0
397	3	414	diffusion_be_123	839	0.0	27634.0
260	4	235	lithotrack_fe_95	1154	0.0	3744.0
1363	3	31	lithotrack_fe_95	1155	0.0	4176.0
247	3	452	dielectric_be_20	778	0.0	3407.0
484	3	375	we_fe_41	1403	0.0	1169.0
758	4	27	diffusion_fe_44	891	0.0	20999.0
457	4	157	de_fe_86	231	0.0	7410.0
642	3	319	dielectric_fe_130	826	0.0	3195.0
847	3	242	delay_32	378	0.0	14400.0
54	3	552	dielectric_be_28	807	0.0	2751.0
1108	3	152	litho_fe_35	1003	0.0	3033.0
279	3	455	we_be_82	1352	0.0	841.0
259	3	477	we_be_9	1365	0.0	1272.0
1067	3	126	litho_fe_92	1012	0.0	3825.0
1298	3	65	litho_fe_98	1040	0.0	2196.0
673	3	306	litho_fe_111	991	0.0	4662.0
367	4	199	lithotrack_fe_115	1103	0.0	4877.0
445	3	398	lithotrack_fe_95	1156	0.0	2412.0
721	4	42	we_fe_47	1408	0.0	1299.0
471	4	157	de_fe_86	232	0.0	7410.0
177	3	513	litho_be_110	950	0.0	3915.0
852	3	261	diffusion_fe_126	879	0.0	28463.0
1181	3	113	litho_fe_92	1013	0.0	4598.0
1293	3	65	litho_fe_98	1041	0.0	2196.0
1398	3	13	litho_fe_92	1014	0.0	3960.0
