lot	product	step	tool	machine	start_time	end_time
833	3	256	dielectric_fe_31	833	0.0	2235.0
1043	3	125	litho_fe_92	1005	0.0	153.0
177	4	272	planar_be_75	1203	0.0	3848.0
1367	3	18	de_fe_86	227	0.0	9767.0
970	3	192	implant_91	941	0.0	56.0
210	3	487	dielectric_be_21	783	0.0	2574.0
126	3	512	litho_be_110	947	0.0	156.0
1247	3	74	implant_132	927	0.0	63.0
1173	3	109	we_fe_83	1416	0.0	64.0
852	3	252	de_fe_62	163	0.0	10126.0
1174	3	101	planar_fe_77	1226	0.0	2586.0
163	4	266	we_be_9	1361	0.0	54.0
174	4	268	we_be_16	1336	0.0	46.0
448	3	398	litho_fe_92	1006	0.0	196.0
766	4	13	lithotrack_fe_115	1101	0.0	130.0
22	3	559	de_be_48	40	0.0	7043.0
1023	3	148	litho_fe_111	981	0.0	190.0
485	4	156	de_fe_86	228	0.0	7410.0
1046	3	148	litho_fe_111	982	0.0	190.0
480	3	378	dielectric_be_60	810	0.0	2989.0
472	3	377	dielectric_be_27	791	0.0	3561.0
561	3	344	litho_fe_92	1007	0.0	155.0
101	3	528	planar_be_75	1204	0.0	3189.0
384	3	425	we_be_82	1351	0.0	37.0
1366	3	17	de_fe_1	107	0.0	8114.0
432	4	121	litho_fe_92	1008	0.0	153.0
1155	3	101	planar_fe_77	1227	0.0	2586.0
196	4	253	litho_be_93	975	0.0	108.0
673	3	313	delay_32	378	0.0	7200.0
494	3	361	litho_fe_92	1009	0.0	194.0
749	3	265	delay_32	379	0.0	10800.0
80	3	506	tf_be_40	1280	0.0	4134.0
182	4	267	de_be_13	19	0.0	6463.0
137	4	288	de_be_13	20	0.0	5292.0
1324	3	42	delay_32	380	0.0	10800.0
253	4	234	lithotrack_fe_95	1152	0.0	149.0
179	4	269	lithomet_be_18	1065	0.0	1239.0
1148	3	101	planar_fe_77	1226	2586.0	5172.0
1220	3	90	we_fe_108	1368	0.0	42.0
300	4	191	litho_reg_fe_64	1051	0.0	1659.0
448	4	167	de_fe_70	177	0.0	8900.0
500	4	148	litho_fe_111	983	0.0	149.0
869	3	252	de_fe_62	164	0.0	10126.0
352	4	198	lithotrack_fe_115	1102	0.0	195.0
1224	3	88	we_fe_108	1369	0.0	70.0
726	4	33	lithotrack_fe_95	1153	0.0	167.0
269	4	226	dielectric_be_20	778	0.0	3051.0
159	3	480	de_be_13	21	0.0	6463.0
31	4	332	lithotrack_fe_95	1154	0.0	164.0
764	4	14	lithotrack_fe_115	1103	0.0	160.0
685	4	56	we_fe_108	1370	0.0	64.0
1079	3	158	litho_fe_111	984	0.0	186.0
72	4	312	dielectric_be_21	784	0.0	2152.0
738	3	273	de_fe_59	148	0.0	4164.0
246	4	222	tf_be_40	1281	0.0	4277.0
98	3	530	dielectric_be_21	785	0.0	2152.0
665	4	67	litho_fe_98	1038	0.0	198.0
371	3	427	lithotrack_be_117	1096	0.0	108.0
56	4	336	de_be_48	41	0.0	7043.0
1294	3	57	litho_fe_111	985	0.0	115.0
1206	3	84	litho_fe_111	986	0.0	101.0
72	3	553	tf_be_26	1265	0.0	3633.0
854	3	242	we_fe_47	1408	0.0	69.0
400	3	395	we_be_81	1348	0.0	69.0
643	4	75	lithomet_fe_19	1078	0.0	1705.0
956	3	192	implant_91	942	0.0	56.0
6	3	555	lithotrack_fe_95	1155	0.0	164.0
1373	3	12	litho_fe_92	1010	0.0	158.0
189	4	222	tf_be_40	1282	0.0	4277.0
600	3	326	litho_reg_fe_64	1052	0.0	1438.0
187	4	270	tf_be_23	1241	0.0	3912.0
411	3	387	lithotrack_fe_115	1104	0.0	109.0
514	3	361	litho_fe_92	1011	0.0	194.0
986	3	185	de_fe_62	165	0.0	10179.0
323	3	433	we_be_82	1352	0.0	36.0
388	4	182	we_fe_84	1423	0.0	52.0
1191	3	101	planar_fe_77	1227	2586.0	5172.0
299	4	215	de_be_12	10	0.0	10202.0
251	3	476	we_be_9	1362	0.0	66.0
410	3	410	de_be_12	11	0.0	10202.0
344	3	433	we_be_82	1353	0.0	36.0
916	3	158	litho_fe_111	987	0.0	186.0
37	3	555	lithotrack_fe_95	1156	0.0	164.0
172	4	265	litho_be_110	948	0.0	117.0
336	4	185	litho_fe_92	1012	0.0	155.0
60	4	312	dielectric_be_21	786	0.0	2152.0
536	4	129	lithotrack_fe_115	1105	0.0	98.0
14	3	570	de_be_48	42	0.0	9763.0
1269	3	64	litho_fe_98	1039	0.0	87.0
730	4	35	litho_fe_92	1013	0.0	133.0
300	3	430	de_be_50	50	0.0	5060.0
605	3	320	planar_fe_76	1223	0.0	3350.0
414	3	405	delay_32	381	0.0	10800.0
885	3	245	tf_met_fe_61	1329	0.0	469.0
930	3	214	delay_32	382	0.0	7200.0
691	4	53	dielectric_fe_112	814	0.0	2155.0
308	4	215	de_be_12	12	0.0	10202.0
515	4	136	lithomet_fe_19	1079	0.0	1509.0
203	4	244	tf_be_23	1242	0.0	5219.0
146	3	485	planar_be_75	1205	0.0	3848.0
533	4	132	litho_reg_fe_64	1053	0.0	1371.0
436	4	156	de_fe_86	229	0.0	7410.0
10	3	291	lithotrack_fe_95	1157	0.0	102.0
699	3	307	litho_reg_fe_64	1054	0.0	1538.0
458	4	164	litho_fe_111	988	0.0	186.0
33	3	577	litho_be_110	949	0.0	148.0
139	3	536	de_be_66	76	0.0	6930.0
352	3	393	de_be_50	51	0.0	4192.0
50	4	311	dielectric_be_27	792	0.0	3277.0
644	3	318	dielectric_fe_130	824	0.0	3195.0
122	3	544	de_be_13	22	0.0	4719.0
132	4	305	de_be_13	23	0.0	7050.0
118	4	300	litho_be_110	950	0.0	158.0
162	3	496	litho_be_110	951	0.0	165.0
1012	3	185	de_fe_62	166	0.0	10179.0
927	3	219	delay_32	383	0.0	10800.0
429	4	172	delay_32	384	0.0	7200.0
217	4	259	litho_be_110	952	0.0	154.0
1089	3	148	litho_fe_111	989	0.0	190.0
100	3	517	lithotrack_fe_95	1158	0.0	191.0
473	4	156	de_fe_86	230	0.0	7410.0
431	3	405	delay_32	385	0.0	10800.0
1337	3	35	de_fe_71	190	0.0	9844.0
912	3	231	we_fe_108	1371	0.0	53.0
177	3	509	dielectric_be_21	787	0.0	2217.0
1092	3	148	litho_fe_111	990	0.0	190.0
723	3	283	implant_90	939	0.0	69.0
167	3	533	litho_be_110	953	0.0	195.0
299	3	448	tf_be_40	1283	0.0	3769.0
1125	3	112	litho_fe_92	1014	0.0	183.0
728	4	38	de_fe_71	191	0.0	9844.0
99	4	316	litho_be_110	954	0.0	100.0
368	3	408	lithotrack_fe_95	1159	0.0	194.0
470	4	139	de_fe_86	231	0.0	8076.0
1193	3	101	planar_fe_77	1226	5172.0	7758.0
27	3	580	de_be_69	105	0.0	3987.0
1152	3	112	litho_fe_92	1015	0.0	183.0
456	3	379	dielectric_be_20	779	0.0	2018.0
550	3	359	lithotrack_fe_115	1106	0.0	193.0
236	3	452	defmet_be_33	362	0.0	963.0
477	3	373	dielectric_fe_130	825	0.0	2961.0
1215	3	88	we_fe_108	1372	0.0	70.0
421	4	172	delay_32	386	0.0	7200.0
888	3	227	lithotrack_fe_115	1107	0.0	177.0
115	3	530	dielectric_be_21	788	0.0	2152.0
1093	3	139	defmet_fe_43	372	0.0	1715.0
150	3	496	litho_be_110	955	0.0	165.0
1169	3	104	dielectric_fe_30	831	0.0	2005.0
529	4	120	lithotrack_fe_115	1108	0.0	173.0
180	4	248	dielectric_be_60	811	0.0	3248.0
429	3	379	dielectric_be_20	780	0.0	2018.0
847	3	252	de_fe_62	167	0.0	10126.0
149	4	288	de_be_13	24	0.0	5292.0
70	3	548	tf_be_40	1284	0.0	5189.0
463	3	386	litho_fe_92	1016	0.0	199.0
112	4	298	we_be_82	1354	0.0	43.0
693	4	55	dielectric_fe_112	815	0.0	2696.0
206	4	234	lithotrack_fe_95	1160	0.0	149.0
122	4	288	de_be_13	25	0.0	5292.0
175	3	472	litho_be_110	956	0.0	154.0
423	4	164	litho_fe_111	991	0.0	186.0
101	4	312	dielectric_be_21	789	0.0	2152.0
571	3	339	dielectric_fe_31	834	0.0	3331.0
17	4	339	lithomet_be_18	1066	0.0	1212.0
506	3	359	lithotrack_fe_115	1109	0.0	193.0
156	4	288	de_be_13	26	0.0	5292.0
555	4	114	de_fe_86	232	0.0	9009.0
375	3	411	we_be_16	1337	0.0	42.0
417	3	393	de_be_50	52	0.0	4192.0
165	3	496	litho_be_110	957	0.0	165.0
969	3	176	de_fe_51	114	0.0	10379.0
395	4	177	dielectric_fe_130	826	0.0	3195.0
120	4	300	litho_be_110	958	0.0	158.0
743	3	277	we_fe_47	1409	0.0	69.0
620	3	324	litho_fe_111	992	0.0	154.0
219	3	442	we_be_14	1331	0.0	54.0
794	3	261	dielectric_fe_31	835	0.0	2183.0
543	3	348	lithotrack_fe_115	1110	0.0	99.0
278	3	454	we_be_82	1355	0.0	44.0
30	4	336	de_be_48	43	0.0	7043.0
1271	3	64	litho_fe_98	1040	0.0	87.0
756	3	271	implant_128	917	0.0	51.0
5	4	331	we_be_82	1356	0.0	57.0
725	4	35	litho_fe_92	1017	0.0	133.0
347	3	423	tf_be_26	1266	0.0	4569.0
727	4	35	litho_fe_92	1018	0.0	133.0
506	4	141	litho_fe_111	993	0.0	120.0
602	3	318	dielectric_fe_130	827	0.0	3195.0
634	3	336	dielectric_fe_29	828	0.0	2802.0
668	4	67	litho_fe_98	1041	0.0	198.0
535	3	350	litho_fe_92	1019	0.0	140.0
1145	3	125	litho_fe_92	1020	0.0	153.0
1332	3	32	litho_fe_92	1021	0.0	133.0
1036	3	161	de_fe_51	115	0.0	7560.0
525	3	354	de_fe_86	233	0.0	10409.0
1069	3	163	implant_128	918	0.0	53.0
791	3	271	implant_128	919	0.0	51.0
726	3	270	delay_32	387	0.0	7200.0
554	3	361	litho_fe_92	1022	0.0	194.0
566	3	331	de_fe_86	234	0.0	8529.0
581	3	339	dielectric_fe_31	836	0.0	3331.0
148	4	283	litho_be_110	959	0.0	165.0
176	3	481	we_be_16	1338	0.0	46.0
54	3	544	de_be_13	27	0.0	4719.0
650	4	74	litho_fe_111	994	0.0	166.0
107	4	303	de_be_65	59	0.0	4911.0
325	4	208	lithotrack_fe_95	1161	0.0	108.0
200	4	258	we_be_82	1357	0.0	70.0
348	3	409	delay_32	388	0.0	7200.0
1032	3	148	litho_fe_111	995	0.0	190.0
1382	3	9	we_fe_84	1424	0.0	54.0
73	3	530	dielectric_be_21	790	0.0	2152.0
259	3	437	lithotrack_fe_95	1162	0.0	149.0
338	4	210	litho_fe_92	1023	0.0	199.0
1252	3	71	litho_fe_98	1042	0.0	198.0
444	4	172	delay_32	389	0.0	7200.0
690	4	54	we_fe_108	1373	0.0	56.0
384	4	183	lithotrack_fe_115	1111	0.0	112.0
611	3	332	de_fe_56	143	0.0	4320.0
22	4	336	de_be_48	44	0.0	7043.0
46	3	515	de_be_66	77	0.0	10449.0
255	3	449	planar_be_75	1206	0.0	3817.0
230	3	496	litho_be_110	960	0.0	165.0
110	4	290	lithomet_be_18	1067	0.0	1473.0
277	4	222	tf_be_40	1285	0.0	4277.0
87	4	298	we_be_82	1358	0.0	43.0
32	4	307	lithomet_be_18	1068	0.0	1248.0
768	3	271	implant_128	920	0.0	51.0
1129	3	128	de_fe_71	192	0.0	10247.0
133	3	500	we_be_9	1363	0.0	63.0
385	3	410	de_be_12	13	0.0	10202.0
1124	3	125	litho_fe_92	1024	0.0	153.0
843	3	256	dielectric_fe_31	835	2183.0	4418.0
925	3	227	lithotrack_fe_115	1112	0.0	177.0
345	4	193	de_fe_86	235	0.0	10223.0
128	4	288	de_be_13	28	0.0	5292.0
