lot	product	step	tool	machine	start_time	end_time
13	4	338	we_be_16	183	0.0	61.0
8	3	569	litho_reg_be_63	127	0.0	1488.0
14	4	337	we_be_14	181	0.0	46.0
10	3	559	de_be_48	6	0.0	7043.0
16	4	333	litho_be_110	113	0.0	185.0
12	4	339	lithomet_be_18	131	0.0	1212.0
7	3	575	dielectric_be_28	62	0.0	2090.0
1	3	580	de_be_69	16	0.0	3987.0
15	4	334	lithomet_be_18	132	0.0	1237.0
0	3	579	litho_reg_be_63	128	0.0	910.0
11	4	340	tf_be_2	155	0.0	3825.0
9	3	564	tf_be_26	161	0.0	3812.0
5	3	573	defmet_be_42	44	0.0	491.0
21	4	321	de_be_13	4	0.0	4719.0
17	4	332	lithotrack_fe_95	139	0.0	164.0
18	4	331	we_be_82	190	0.0	57.0
19	4	329	diffusion_be_123	76	0.0	26081.0
3	3	576	we_be_82	191	0.0	69.0
4	3	580	de_be_69	17	0.0	3987.0
20	4	324	tf_be_23	157	0.0	4582.0
2	3	578	lithomet_be_18	131	1212.0	2715.0
6	3	579	litho_reg_be_63	128	910.0	1820.0
13	4	339	lithomet_be_18	132	1237.0	2449.0
8	3	570	de_be_48	7	1488.0	11251.0
14	4	338	we_be_16	184	46.0	107.0
10	3	560	we_be_14	182	7043.0	7089.0
16	4	334	lithomet_be_18	132	2449.0	3686.0
12	4	340	tf_be_2	156	1212.0	5037.0
7	3	576	we_be_82	190	2090.0	2159.0
1	3	581	delay_32	54	3987.0	11187.0
15	4	335	litho_reg_be_63	127	1488.0	3213.0
0	3	580	de_be_69	16	3987.0	7974.0
11	4	341	tf_be_26	162	3825.0	7637.0
9	3	565	we_be_82	191	3812.0	3859.0
5	3	574	lithomet_be_18	131	2715.0	3843.0
21	4	322	we_be_16	183	4719.0	4785.0
17	4	333	litho_be_110	114	164.0	349.0
18	4	332	lithotrack_fe_95	140	57.0	221.0
19	4	330	tf_be_26	161	26081.0	29714.0
3	3	577	litho_be_110	113	185.0	333.0
4	3	581	delay_32	55	3987.0	11187.0
20	4	325	tf_be_40	163	4582.0	9771.0
2	3	579	litho_reg_be_63	128	2715.0	3625.0
6	3	580	de_be_69	17	3987.0	7974.0
13	4	340	tf_be_2	155	3825.0	7650.0
8	3	571	we_be_14	181	11251.0	11295.0
14	4	339	lithomet_be_18	132	3686.0	4898.0
10	3	561	we_be_16	184	7089.0	7150.0
16	4	335	litho_reg_be_63	127	3686.0	5411.0
12	4	341	tf_be_26	162	7637.0	11449.0
7	3	577	litho_be_110	113	2159.0	2307.0
1	3	582	we_be_17	185	11187.0	11225.0
15	4	336	de_be_48	6	7043.0	14086.0
0	3	581	delay_32	54	11187.0	18387.0
11	4	342	we_be_82	190	7637.0	7684.0
9	3	566	lithotrack_fe_95	139	3859.0	4017.0
5	3	575	dielectric_be_28	63	3843.0	5933.0
21	4	323	lithomet_be_18	131	4785.0	6173.0
17	4	334	lithomet_be_18	132	4898.0	6135.0
18	4	333	litho_be_110	114	349.0	534.0
19	4	331	we_be_82	191	29714.0	29771.0
3	3	578	lithomet_be_18	132	6135.0	7638.0
4	3	582	we_be_17	186	11187.0	11225.0
20	4	326	planar_be_75	143	9771.0	13784.0
2	3	580	de_be_69	16	7974.0	11961.0
6	3	581	delay_32	55	11187.0	18387.0
13	4	341	tf_be_26	162	11449.0	15261.0
8	3	572	we_be_16	183	11295.0	11339.0
14	4	340	tf_be_2	156	5037.0	8862.0
10	3	562	lithomet_be_18	131	7150.0	8362.0
16	4	336	de_be_48	7	11251.0	18294.0
12	4	342	we_be_82	190	11449.0	11496.0
7	3	578	lithomet_be_18	132	7638.0	9141.0
15	4	337	we_be_14	182	14086.0	14132.0
0	3	582	we_be_17	185	18387.0	18425.0
9	3	567	litho_be_110	114	4017.0	4163.0
5	3	576	we_be_82	190	11496.0	11565.0
21	4	324	tf_be_23	158	6173.0	10755.0
17	4	335	litho_reg_be_63	128	6135.0	7860.0
18	4	334	lithomet_be_18	131	8362.0	9599.0
19	4	332	lithotrack_fe_95	140	29771.0	29935.0
3	3	579	litho_reg_be_63	127	7638.0	8548.0
20	4	327	dielectric_be_27	60	13784.0	16672.0
2	3	581	delay_32	54	18387.0	25587.0
6	3	582	we_be_17	186	18387.0	18425.0
13	4	342	we_be_82	190	15261.0	15308.0
8	3	573	defmet_be_42	44	11339.0	11830.0
14	4	341	tf_be_26	162	15261.0	19073.0
10	3	563	tf_be_2	155	8362.0	12187.0
16	4	337	we_be_14	181	18294.0	18340.0
7	3	579	litho_reg_be_63	128	9141.0	10051.0
15	4	338	we_be_16	184	14132.0	14193.0
9	3	568	lithomet_be_18	132	9141.0	10599.0
5	3	577	litho_be_110	113	11565.0	11713.0
21	4	325	tf_be_40	164	10755.0	15944.0
17	4	336	de_be_48	6	14086.0	21129.0
18	4	335	litho_reg_be_63	127	9599.0	11324.0
19	4	333	litho_be_110	114	29935.0	30120.0
3	3	580	de_be_69	17	8548.0	12535.0
20	4	328	dielectric_be_28	62	16672.0	19423.0
2	3	582	we_be_17	185	25587.0	25625.0
8	3	574	lithomet_be_18	131	11830.0	12958.0
14	4	342	we_be_82	190	19073.0	19120.0
10	3	564	tf_be_26	162	19073.0	22885.0
16	4	338	we_be_16	183	18340.0	18401.0
7	3	580	de_be_69	16	11961.0	15948.0
15	4	339	lithomet_be_18	132	14193.0	15405.0
9	3	569	litho_reg_be_63	128	10599.0	12087.0
5	3	578	lithomet_be_18	131	12958.0	14461.0
21	4	326	planar_be_75	144	15944.0	19957.0
17	4	337	we_be_14	182	21129.0	21175.0
18	4	336	de_be_48	7	18294.0	25337.0
19	4	334	lithomet_be_18	131	30120.0	31357.0
3	3	581	delay_32	55	18387.0	25587.0
20	4	329	diffusion_be_123	77	19423.0	45504.0
8	3	575	dielectric_be_28	63	12958.0	15048.0
10	3	565	we_be_82	190	22885.0	22932.0
16	4	339	lithomet_be_18	132	18401.0	19613.0
7	3	581	delay_32	54	25587.0	32787.0
15	4	340	tf_be_2	156	15405.0	19230.0
9	3	570	de_be_48	6	21129.0	30892.0
5	3	579	litho_reg_be_63	127	14461.0	15371.0
21	4	327	dielectric_be_27	61	19957.0	22845.0
17	4	338	we_be_16	184	21175.0	21236.0
18	4	337	we_be_14	181	25337.0	25383.0
19	4	335	litho_reg_be_63	128	31357.0	33082.0
3	3	582	we_be_17	186	25587.0	25625.0
20	4	330	tf_be_26	162	45504.0	49137.0
8	3	576	we_be_82	190	22932.0	23001.0
10	3	566	lithotrack_fe_95	139	22932.0	23090.0
16	4	340	tf_be_2	155	19613.0	23438.0
7	3	582	we_be_17	185	32787.0	32825.0
15	4	341	tf_be_26	161	29714.0	33526.0
