Product Step Tool Processtime
part_3 1 Diffusion_FE_120 30079
part_3 2 WE_FE_84 971
part_3 3 DefMEt_FE_118 1079
part_3 4 TF_Met_FE_45 510
part_3 5 Diffusion_FE_127 26254
part_3 6 DefMEt_FE_118 1419
part_3 7 TF_Met_FE_45 588
part_3 8 WE_FE_108 1128
part_3 9 WE_FE_83 1183
part_3 10 WE_FE_84 1026
part_3 11 LithoTrack_FE_115 3258
part_3 12 LithoTrack_FE_115 4014
part_3 13 Litho_FE_92 3960
part_3 14 LithoMet_FE_19 1686
part_3 15 Litho_REG_FE_64 1516
part_3 16 DefMet_FE_10 412
part_3 17 Implant_128 1299
part_3 18 DE_FE_1 8114
part_3 19 DE_FE_86 9767
part_3 20 WE_FE_108 1142
part_3 21 WE_FE_108 1114
part_3 22 LithoMet_FE_19 1134
part_3 23 DefMet_FE_43 1162
part_3 24 Diffusion_FE_44 20999
part_3 25 DefMet_FE_43 382
part_3 26 DE_FE_51 4349
part_3 27 DE_FE_86 5060
part_3 28 WE_FE_108 1060
part_3 29 WE_FE_83 1080
part_3 30 WE_FE_84 1299
part_3 31 LithoTrack_FE_95 4176
part_3 32 LithoTrack_FE_115 2538
part_3 33 Litho_FE_92 3339
part_3 34 LithoMet_FE_19 1014
part_3 35 Litho_REG_FE_64 1278
part_3 36 DE_FE_71 9844
part_3 37 WE_FE_41 1032
part_3 38 DE_FE_59 6506
part_3 39 WE_FE_47 1299
part_3 40 DE_FE_71 4857
part_3 41 WE_FE_108 957
part_3 42 DefMet_FE_43 584
part_3 43 Delay_32 10800
part_3 44 DE_FE_54 5869
part_3 45 DE_FE_86 6302
part_3 46 WE_FE_108 902
part_3 47 LithoMet_FE_19 1240
part_3 48 DefMet_FE_34 1513
part_3 49 Delay_32 14400
part_3 50 WE_FE_8 1238
part_3 51 WE_FE_83 1094
part_3 52 DefMet_FE_43 1757
part_3 53 Dielectric_FE_112 2155
part_3 54 WE_FE_108 1067
part_3 55 Dielectric_FE_112 1999
part_3 56 Planar_FE_79 4624
part_3 57 WE_FE_108 1361
part_3 58 Litho_FE_111 2879
part_3 59 LithoMet_FE_19 1476
part_3 60 Litho_REG_FE_64 1211
part_3 61 Implant_132 1197
part_3 62 DE_FE_86 9343
part_3 63 WE_FE_108 1217
part_3 64 WE_FE_84 1285
part_3 65 Litho_FE_98 2196
part_3 66 LithoMet_FE_19 1074
part_3 67 Litho_REG_FE_64 1238
part_3 68 Implant_128 930
part_3 69 DE_FE_86 4641
part_3 70 WE_FE_108 1231
part_3 71 WE_FE_84 807
part_3 72 Litho_FE_98 4950
part_3 73 LithoMet_FE_19 1371
part_3 74 Litho_REG_FE_64 987
part_3 75 Implant_132 1210
part_3 76 DE_FE_86 8349
part_3 77 WE_FE_108 896
part_3 78 WE_FE_84 1285
part_3 79 Litho_FE_111 4158
part_3 80 LithoMet_FE_19 1705
part_3 81 Litho_REG_FE_64 1390
part_3 82 Implant_132 1504
part_3 83 DE_FE_86 8249
part_3 84 WE_FE_84 1039
part_3 85 Litho_FE_111 2538
part_3 86 LithoMet_FE_19 1637
part_3 87 Litho_REG_FE_64 1573
part_3 88 Implant_132 1518
part_3 89 WE_FE_108 1340
part_3 90 DE_FE_86 4934
part_3 91 WE_FE_108 807
part_3 92 WE_FE_108 991
part_3 93 Delay_32 14400
part_3 94 Implant_88 984
part_3 95 WE_FE_108 1032
part_3 96 TF_FE_131 4955
part_3 97 DefMet_FE_34 488
part_3 98 Delay_32 10800
part_3 99 WE_FE_108 711
part_3 100 Diffusion_FE_120 23970
part_3 101 Diffusion_FE_127 19064
part_3 102 Planar_FE_77 2586
part_3 103 WE_FE_108 1197
part_3 104 Delay_32 7200
part_3 105 Dielectric_FE_30 2005
part_3 106 DefMet_FE_34 821
part_3 107 WE_FE_8 902
part_3 108 WE_FE_108 752
part_3 109 Implant_91 1415
part_3 110 WE_FE_83 1231
part_3 111 WE_FE_84 1114
part_3 112 LithoTrack_FE_115 4004
part_3 113 Litho_FE_92 4598
part_3 114 TF_Met_FE_61 595
part_3 115 LithoMet_FE_19 1415
part_3 116 Litho_REG_FE_64 1517
part_3 117 Implant_128 1504
part_3 118 DE_FE_71 5998
part_3 119 DE_FE_86 9009
part_3 120 DefMet_FE_43 1670
part_3 121 WE_FE_108 1067
part_3 122 WE_FE_83 807
part_3 123 WE_FE_84 1306
part_3 124 DefMet_FE_43 548
part_3 125 LithoTrack_FE_115 4347
part_3 126 Litho_FE_92 3825
part_3 127 LithoMet_FE_19 1671
part_3 128 Litho_REG_FE_64 1735
part_3 129 DE_FE_71 10247
part_3 130 WE_FE_108 1210
part_3 131 WE_FE_83 1026
part_3 132 WE_FE_84 1094
part_3 133 DefMet_FE_43 480
part_3 134 LithoTrack_FE_115 2457
part_3 135 Litho_FE_92 2997
part_3 136 LithoMet_FE_19 1090
part_3 137 Litho_REG_FE_64 1371
part_3 138 DE_FE_71 8465
part_3 139 WE_FE_108 834
part_3 140 DefMet_FE_43 1715
part_3 141 DE_FE_59 9383
part_3 142 WE_FE_108 1149
part_3 143 TF_Met_FE_61 475
part_3 144 LithoMet_FE_19 1509
part_3 145 DefMet_FE_10 1754
part_3 146 Delay_32 7200
part_3 147 DE_FE_86 8076
part_3 148 WE_FE_84 1032
part_3 149 Litho_FE_111 4752
part_3 150 LithoMet_FE_19 1317
part_3 151 Litho_REG_FE_64 1516
part_3 152 Litho_FE_35 3033
part_3 153 Implant_132 1053
part_3 154 DE_FE_86 9947
part_3 155 DefMet_FE_43 915
part_3 156 WE_FE_108 1183
part_3 157 WE_FE_84 745
part_3 158 LithoTrack_FE_115 4392
part_3 159 Litho_FE_111 4671
part_3 160 LithoMet_FE_19 1631
part_3 161 Litho_REG_FE_64 1768
part_3 162 DE_FE_51 7560
part_3 163 WE_FE_108 1005
part_3 164 Implant_128 1012
part_3 165 DE_FE_86 9267
part_3 166 DefMet_FE_43 829
part_3 167 WE_FE_108 1005
part_3 168 Implant_128 1272
part_3 169 WE_FE_108 1114
part_3 170 Implant_91 1409
part_3 171 Diffusion_FE_100 23345
part_3 172 TF_Met_FE_61 468
part_3 173 DefMet_FE_43 1362
part_3 174 Diffusion_FE_122 31368
part_3 175 WE_FE_84 1251
part_3 176 LithoTrack_FE_115 4167
part_3 177 DE_FE_51 10379
part_3 178 Implant_74 937
part_3 179 Delay_32 7200
part_3 180 Implant_128 1114
part_3 181 DefMet_FE_43 374
part_3 182 DE_FE_86 6257
part_3 183 WE_FE_108 971
part_3 184 Implant_91 896
part_3 185 WE_FE_108 772
part_3 186 DE_FE_62 10179
part_3 187 DE_FE_86 4410
part_3 188 TF_Met_FE_61 370
part_3 189 WE_FE_108 1251
part_3 190 Delay_32 10800
part_3 191 Diffusion_FE_101 26991
part_3 192 DE_FE_86 6948
part_3 193 Implant_91 1067
part_3 194 WE_FE_84 1032
part_3 195 LithoTrack_FE_115 2790
part_3 196 Litho_FE_111 4419
part_3 197 LithoMet_FE_19 1600
part_3 198 Litho_REG_FE_64 1226
part_3 199 DE_FE_51 7557
part_3 200 WE_FE_108 937
part_3 201 Implant_128 1272
part_3 202 DE_FE_86 6472
part_3 203 WE_FE_108 1032
part_3 204 Delay_32 10800
part_3 205 DefMet_FE_10 312
part_3 206 WE_FE_108 820
part_3 207 Delay_32 10800
part_3 208 DE_FE_53 9853
part_3 209 WE_FE_84 1155
part_3 210 WE_FE_108 937
part_3 211 WE_FE_108 820
part_3 212 TF_Met_FE_61 487
part_3 213 TF_Met_FE_61 558
part_3 214 Delay_32 10800
part_3 215 Delay_32 7200
part_3 216 WE_FE_47 827
part_3 217 EPI_36 991
part_3 218 TF_Met_FE_61 363
part_3 219 TF_Met_FE_61 492
part_3 220 Delay_32 10800
part_3 221 WE_FE_108 889
part_3 222 DefMet_FE_10 544
part_3 223 WE_FE_108 1313
part_3 224 Diffusion_FE_101 32172
part_3 225 DE_FE_86 9459
part_3 226 Implant_91 1443
part_3 227 WE_FE_84 1251
part_3 228 LithoTrack_FE_115 4437
part_3 229 LithoMet_FE_19 1166
part_3 230 Litho_REG_FE_64 1717
part_3 231 DE_FE_51 9704
part_3 232 WE_FE_108 1012
part_3 233 DE_FE_86 10184
part_3 234 WE_FE_108 930
part_3 235 DefMet_FE_43 1562
part_3 236 WE_FE_108 827
part_3 237 DE_FE_58 5306
part_3 238 TF_Met_FE_61 457
part_3 239 TF_Met_FE_61 538
part_3 240 WE_FE_108 690
part_3 241 WE_FE_108 813
part_3 242 Delay_32 14400
part_3 243 WE_FE_47 1320
part_3 244 EPI_38 1217
part_3 245 TF_Met_FE_61 309
part_3 246 TF_Met_FE_61 469
part_3 247 WE_FE_108 1279
part_3 248 Implant_119 1320
part_3 249 WE_FE_84 1190
part_3 250 WE_FE_108 779
part_3 251 Dielectric_FE_29 2792
part_3 252 Implant_90 1586
part_3 253 DE_FE_62 10126
part_3 254 DE_FE_86 8096
part_3 255 WE_FE_108 731
part_3 256 DefMet_FE_43 1721
part_3 257 Dielectric_FE_31 2235
part_3 258 Dielectric_FE_112 3258
part_3 259 TF_Met_FE_61 381
part_3 260 LithoTrack_FE_96 2736
part_3 261 Diffusion_FE_126 28463
part_3 262 Dielectric_FE_31 2183
part_3 263 Planar_FE_79 3808
part_3 264 WE_FE_84 759
part_3 265 WE_FE_108 1299
part_3 266 Delay_32 10800
part_3 267 DE_FE_62 8700
part_3 268 WE_FE_108 978
part_3 269 TF_Met_FE_61 361
part_3 270 DefMet_FE_10 1769
part_3 271 Delay_32 7200
part_3 272 Implant_128 984
part_3 273 Dielectric_FE_112 3013
part_3 274 DE_FE_59 4164
part_3 275 DE_FE_62 3787
part_3 276 Implant_128 1060
part_3 277 Dielectric_FE_112 3550
part_3 278 WE_FE_47 1326
part_3 279 TF_Met_FE_61 380
part_3 280 DefMet_FE_10 876
part_3 281 Diffusion_FE_101 29966
part_3 282 WE_FE_108 1340
part_3 283 TF_FE_3 4822
part_3 284 Implant_90 1313
part_3 285 TF_FE_103 5353
part_3 286 Diffusion_FE_94 27788
part_3 287 TF_FE_104 4084
part_3 288 Implant_91 1573
part_3 289 WE_FE_47 745
part_3 290 TF_FE_131 5151
part_3 291 WE_FE_84 1265
part_3 292 LithoTrack_FE_95 2556
part_3 293 DE_FE_70 4035
part_3 294 WE_FE_41 991
part_3 295 TF_Met_FE_61 574
part_3 296 WE_FE_41 1080
part_3 297 Diffusion_FE_94 32360
part_3 298 WE_FE_84 1094
part_3 299 TF_FE_103 5052
part_3 300 WE_FE_84 711
part_3 301 LithoTrack_FE_95 4104
part_3 302 DE_FE_70 4298
part_3 303 WE_FE_108 1012
part_3 304 WE_FE_84 793
part_3 305 LithoTrack_FE_115 4500
part_3 306 Litho_FE_111 4662
part_3 307 LithoMet_FE_19 1393
part_3 308 Litho_REG_FE_64 1538
part_3 309 DE_FE_70 8900
part_3 310 WE_FE_108 1135
part_3 311 WE_FE_108 1272
part_3 312 WE_FE_41 697
part_3 313 LithoMet_FE_19 1392
part_3 314 Delay_32 7200
part_3 315 TF_Met_FE_61 563
part_3 316 TF_FE_5 3876
part_3 317 Delay_32 14400
part_3 318 Diffusion_FE_94 28381
part_3 319 Dielectric_FE_130 3195
part_3 320 WE_FE_41 1101
part_3 321 Planar_FE_76 3350
part_3 322 TF_FE_104 4177
part_3 323 WE_FE_108 731
part_3 324 WE_FE_84 991
part_3 325 Litho_FE_111 3861
part_3 326 LithoMet_FE_19 1041
part_3 327 Litho_REG_FE_64 1438
part_3 328 Implant_128 909
part_3 329 DE_FE_86 9732
part_3 330 WE_FE_47 1361
part_3 331 WE_FE_41 697
part_3 332 DE_FE_86 8529
part_3 333 DE_FE_56 4320
part_3 334 WE_FE_41 841
part_3 335 TF_Met_FE_61 379
part_3 336 DE_FE_86 8443
part_3 337 Dielectric_FE_29 2802
part_3 338 Planar_FE_78 3049
part_3 339 WE_FE_108 1279
part_3 340 Dielectric_FE_31 3331
part_3 341 WE_FE_83 718
part_3 342 WE_FE_84 684
part_3 343 LithoTrack_FE_115 2808
part_3 344 LithoTrack_FE_115 4815
part_3 345 Litho_FE_92 3888
part_3 346 Litho_REG_FE_64 1585
part_3 347 Implant_128 984
part_3 348 Diffusion_FE_44 26880
part_3 349 LithoTrack_FE_115 2484
part_3 350 LithoTrack_FE_115 4877
part_3 351 Litho_FE_92 3519
part_3 352 LithoMet_FE_19 1430
part_3 353 Litho_REG_FE_64 1167
part_3 354 DE_FE_72 3777
part_3 355 DE_FE_86 10409
part_3 356 DE_FE_86 5985
part_3 357 WE_FE_47 1169
part_3 358 WE_FE_83 861
part_3 359 WE_FE_85 1326
part_3 360 LithoTrack_FE_115 4833
part_3 361 LithoTrack_FE_115 4275
part_3 362 Litho_FE_92 4869
part_3 363 LithoMet_FE_19 986
part_3 364 Litho_REG_FE_64 1142
