Product Step Tool Processtime
part_3 0 Diffusion_FE_120 30079
part_3 1 WE_FE_84 51
part_3 2 DefMEt_FE_118 1079
part_3 3 TF_Met_FE_45 510
part_3 4 Diffusion_FE_127 26254
part_3 5 DefMEt_FE_118 1419
part_3 6 TF_Met_FE_45 588
part_3 7 WE_FE_108 59
part_3 8 WE_FE_83 62
part_3 9 WE_FE_84 54
part_3 10 LithoTrack_FE_115 130
part_3 11 LithoTrack_FE_115 160
part_3 12 Litho_FE_92 158
part_3 13 LithoMet_FE_19 1686
part_3 14 Litho_REG_FE_64 1516
part_3 15 DefMet_FE_10 412
part_3 16 Implant_128 68
part_3 17 DE_FE_1 8114
part_3 18 DE_FE_86 9767
part_3 19 WE_FE_108 60
part_3 20 WE_FE_108 58
part_3 21 LithoMet_FE_19 1134
part_3 22 DefMet_FE_43 1162
part_3 23 Diffusion_FE_44 20999
part_3 24 DefMet_FE_43 382
part_3 25 DE_FE_51 4349
part_3 26 DE_FE_86 5060
part_3 27 WE_FE_108 55
part_3 28 WE_FE_83 56
part_3 29 WE_FE_84 68
part_3 30 LithoTrack_FE_95 167
part_3 31 LithoTrack_FE_115 101
part_3 32 Litho_FE_92 133
part_3 33 LithoMet_FE_19 1014
part_3 34 Litho_REG_FE_64 1278
part_3 35 DE_FE_71 9844
part_3 36 WE_FE_41 54
part_3 37 DE_FE_59 6506
part_3 38 WE_FE_47 68
part_3 39 DE_FE_71 4857
part_3 40 WE_FE_108 50
part_3 41 DefMet_FE_43 584
part_3 42 Delay_32 10800
part_3 43 DE_FE_54 5869
part_3 44 DE_FE_86 6302
part_3 45 WE_FE_108 47
part_3 46 LithoMet_FE_19 1240
part_3 47 DefMet_FE_34 1513
part_3 48 Delay_32 14400
part_3 49 WE_FE_8 65
part_3 50 WE_FE_83 57
part_3 51 DefMet_FE_43 1757
part_3 52 Dielectric_FE_112 2155
part_3 53 WE_FE_108 56
part_3 54 Dielectric_FE_112 1999
part_3 55 Planar_FE_79 4624
part_3 56 WE_FE_108 71
part_3 57 Litho_FE_111 115
part_3 58 LithoMet_FE_19 1476
part_3 59 Litho_REG_FE_64 1211
part_3 60 Implant_132 63
part_3 61 DE_FE_86 9343
part_3 62 WE_FE_108 64
part_3 63 WE_FE_84 67
part_3 64 Litho_FE_98 87
part_3 65 LithoMet_FE_19 1074
part_3 66 Litho_REG_FE_64 1238
part_3 67 Implant_128 48
part_3 68 DE_FE_86 4641
part_3 69 WE_FE_108 64
part_3 70 WE_FE_84 42
part_3 71 Litho_FE_98 198
part_3 72 LithoMet_FE_19 1371
part_3 73 Litho_REG_FE_64 987
part_3 74 Implant_132 63
part_3 75 DE_FE_86 8349
part_3 76 WE_FE_108 47
part_3 77 WE_FE_84 67
part_3 78 Litho_FE_111 166
part_3 79 LithoMet_FE_19 1705
part_3 80 Litho_REG_FE_64 1390
part_3 81 Implant_132 79
part_3 82 DE_FE_86 8249
part_3 83 WE_FE_84 54
part_3 84 Litho_FE_111 101
part_3 85 LithoMet_FE_19 1637
part_3 86 Litho_REG_FE_64 1573
part_3 87 Implant_132 79
part_3 88 WE_FE_108 70
part_3 89 DE_FE_86 4934
part_3 90 WE_FE_108 42
part_3 91 WE_FE_108 52
part_3 92 Delay_32 14400
part_3 93 Implant_88 51
part_3 94 WE_FE_108 54
part_3 95 TF_FE_131 4955
part_3 96 DefMet_FE_34 488
part_3 97 Delay_32 10800
part_3 98 WE_FE_108 37
part_3 99 Diffusion_FE_120 23970
part_3 100 Diffusion_FE_127 19064
part_3 101 Planar_FE_77 2586
part_3 102 WE_FE_108 63
part_3 103 Delay_32 7200
part_3 104 Dielectric_FE_30 2005
part_3 105 DefMet_FE_34 821
part_3 106 WE_FE_8 47
part_3 107 WE_FE_108 39
part_3 108 Implant_91 74
part_3 109 WE_FE_83 64
part_3 110 WE_FE_84 58
part_3 111 LithoTrack_FE_115 160
part_3 112 Litho_FE_92 183
part_3 113 TF_Met_FE_61 595
