Product Step Tool Processtime
part_1 0 Diffusion_FE_125 26424
part_1 1 WE_FE_84 68
part_1 2 DefMEt_FE_118 1792
part_1 3 TF_Met_FE_45 510
part_1 4 Diffusion_FE_127 26254
part_1 5 DefMEt_FE_118 1419
part_1 6 TF_Met_FE_45 588
part_1 7 WE_FE_108 59
part_1 8 WE_FE_83 62
part_1 9 WE_FE_84 54
part_1 10 LithoTrack_FE_115 130
part_1 11 LithoTrack_FE_115 160
part_1 12 Litho_FE_92 158
part_1 13 LithoMet_FE_19 1686
part_1 14 Litho_REG_FE_64 1516
part_1 15 DefMet_FE_10 412
part_1 16 Implant_128 68
part_1 17 DE_FE_1 8114
part_1 18 DE_FE_86 9767
part_1 19 WE_FE_108 60
part_1 20 WE_FE_108 58
part_1 21 LithoMet_FE_19 1134
part_1 22 DefMet_FE_43 1162
part_1 23 Diffusion_FE_44 20999
part_1 24 DefMet_FE_43 382
part_1 25 DE_FE_51 4349
part_1 26 DE_FE_86 5060
part_1 27 WE_FE_108 55
part_1 28 WE_FE_83 56
part_1 29 WE_FE_84 68
part_1 30 LithoTrack_FE_95 167
part_1 31 LithoTrack_FE_115 101
part_1 32 Litho_FE_92 133
part_1 33 LithoMet_FE_19 1014
part_1 34 Litho_REG_FE_64 1278
part_1 35 DE_FE_71 9844
part_1 36 WE_FE_41 54
part_1 37 DE_FE_71 4857
part_1 38 WE_FE_108 50
part_1 39 DefMet_FE_43 584
part_1 40 Delay_32 10800
part_1 41 DE_FE_54 5869
part_1 42 DE_FE_86 6302
part_1 43 WE_FE_108 47
part_1 44 LithoMet_FE_19 1240
part_1 45 DefMet_FE_34 1513
part_1 46 Delay_32 14400
part_1 47 WE_FE_8 65
part_1 48 WE_FE_83 57
part_1 49 DefMet_FE_43 1757
part_1 50 Dielectric_FE_112 2155
part_1 51 WE_FE_108 56
part_1 52 Dielectric_FE_112 2696
part_1 53 WE_FE_108 64
part_1 54 Dielectric_FE_112 1999
part_1 55 Planar_FE_79 4624
part_1 56 WE_FE_108 71
part_1 57 Litho_FE_111 115
part_1 58 LithoMet_FE_19 1476
part_1 59 Litho_REG_FE_64 1211
part_1 60 Implant_132 63
part_1 61 DE_FE_86 9343
part_1 62 WE_FE_108 64
part_1 63 WE_FE_84 67
part_1 64 Litho_FE_98 87
part_1 65 LithoMet_FE_19 1074
part_1 66 Litho_REG_FE_64 1238
part_1 67 Implant_128 48
part_1 68 DE_FE_86 4641
part_1 69 WE_FE_108 64
part_1 70 WE_FE_84 42
part_1 71 Litho_FE_98 198
part_1 72 LithoMet_FE_19 1371
part_1 73 Litho_REG_FE_64 987
part_1 74 Implant_132 63
part_1 75 DE_FE_86 8349
part_1 76 WE_FE_108 47
part_1 77 WE_FE_84 67
part_1 78 Litho_FE_111 166
part_1 79 LithoMet_FE_19 1705
part_1 80 Litho_REG_FE_64 1390
part_1 81 Implant_132 79
part_1 82 DE_FE_86 8249
part_1 83 WE_FE_84 54
part_1 84 Litho_FE_111 101
part_1 85 LithoMet_FE_19 1637
part_1 86 Litho_REG_FE_64 1573
part_1 87 Implant_132 79
part_1 88 WE_FE_108 70
part_1 89 DE_FE_86 4934
part_1 90 WE_FE_108 42
part_1 91 WE_FE_108 52
part_1 92 Delay_32 14400
part_1 93 Implant_88 51
part_1 94 WE_FE_108 54
part_1 95 TF_FE_131 4955
part_1 96 DefMet_FE_34 488
part_1 97 Delay_32 10800
part_1 98 WE_FE_108 37
part_1 99 Diffusion_FE_120 23970
part_1 100 Diffusion_FE_127 19064
part_1 101 Planar_FE_77 2586
part_1 102 WE_FE_108 63
part_1 103 Delay_32 7200
part_1 104 Dielectric_FE_30 2005
part_1 105 DefMet_FE_34 821
part_1 106 WE_FE_8 47
part_1 107 WE_FE_108 39
part_1 108 Implant_91 74
part_1 109 WE_FE_83 64
part_1 110 WE_FE_84 58
part_1 111 LithoTrack_FE_115 160
part_1 112 Litho_FE_92 183
part_1 113 TF_Met_FE_61 595
part_1 114 LithoMet_FE_19 1415
part_1 115 Litho_REG_FE_64 1517
part_1 116 Implant_128 79
part_1 117 DE_FE_71 5998
part_1 118 DE_FE_86 9009
part_1 119 DefMet_FE_43 1670
part_1 120 WE_FE_108 56
part_1 121 WE_FE_83 42
part_1 122 WE_FE_84 68
part_1 123 DefMet_FE_43 548
part_1 124 LithoTrack_FE_115 173
part_1 125 Litho_FE_92 153
part_1 126 LithoMet_FE_19 1671
part_1 127 Litho_REG_FE_64 1735
part_1 128 DE_FE_71 10247
part_1 129 WE_FE_108 63
part_1 130 WE_FE_83 54
part_1 131 WE_FE_84 57
part_1 132 DefMet_FE_43 480
part_1 133 LithoTrack_FE_115 98
part_1 134 Litho_FE_92 119
part_1 135 LithoMet_FE_19 1090
part_1 136 Litho_REG_FE_64 1371
part_1 137 DE_FE_59 9383
part_1 138 WE_FE_108 60
part_1 139 TF_Met_FE_61 475
part_1 140 LithoMet_FE_19 1509
part_1 141 DefMet_FE_10 1754
part_1 142 Delay_32 7200
part_1 143 DE_FE_86 8076
part_1 144 WE_FE_84 54
part_1 145 Litho_FE_111 190
part_1 146 LithoMet_FE_19 1317
part_1 147 Litho_REG_FE_64 1516
part_1 148 Litho_FE_35 121
part_1 149 Implant_132 55
part_1 150 DE_FE_86 9947
part_1 151 DefMet_FE_43 915
part_1 152 WE_FE_108 62
part_1 153 WE_FE_84 39
part_1 154 Litho_FE_111 120
part_1 155 LithoMet_FE_19 1310
part_1 156 Litho_REG_FE_64 1350
part_1 157 Implant_132 86
part_1 158 DE_FE_86 7571
part_1 159 WE_FE_108 69
part_1 160 WE_FE_84 69
part_1 161 LithoTrack_FE_115 175
part_1 162 Litho_FE_111 186
part_1 163 LithoMet_FE_19 1631
part_1 164 Litho_REG_FE_64 1768
part_1 165 DE_FE_51 7560
part_1 166 WE_FE_108 52
part_1 167 Implant_128 53
part_1 168 DE_FE_86 9267
part_1 169 DefMet_FE_43 829
part_1 170 WE_FE_108 52
part_1 171 Implant_128 66
part_1 172 WE_FE_108 58
part_1 173 Implant_91 74
part_1 174 Diffusion_FE_100 23345
part_1 175 TF_Met_FE_61 468
part_1 176 DefMet_FE_43 1362
part_1 177 Diffusion_FE_122 31368
part_1 178 WE_FE_84 65
part_1 179 LithoTrack_FE_115 111
part_1 180 Litho_FE_111 176
part_1 181 LithoMet_FE_19 1600
part_1 182 Litho_REG_FE_64 1226
part_1 183 DE_FE_51 7557
part_1 184 WE_FE_108 49
part_1 185 Implant_128 66
part_1 186 DE_FE_86 6472
part_1 187 WE_FE_108 54
part_1 188 Delay_32 10800
part_1 189 DefMet_FE_10 312
part_1 190 WE_FE_108 43
part_1 191 Delay_32 10800
