LOT	PART	PRIOR	PIECES	START	CURSTEP	DUE	ORDER	HOTLOT	TRACE
Init_Lot_1_1	part_1	10	25	01/01/18 00:00:00	505	01/01/18 00:00:00	O_Init_WIP		
Init_Lot_1_2	part_1	10	25	01/01/18 00:00:00	502	01/01/18 01:46:05	O_Init_WIP		
Init_Lot_1_3	part_1	10	25	01/01/18 00:00:00	514	01/01/18 06:04:33	O_Init_WIP		
Init_Lot_1_4	part_1	10	25	01/01/18 00:00:00	482	01/01/18 14:41:28	O_Init_WIP		
Init_Lot_1_5	part_1	10	25	01/01/18 00:00:00	514	01/01/18 18:59:55	O_Init_WIP		
Init_Lot_1_6	part_1	10	25	01/01/18 00:00:00	514	01/02/18 07:55:18	O_Init_WIP		
Init_Lot_1_7	part_1	10	25	01/01/18 00:00:00	503	01/02/18 20:50:41	O_Init_WIP		
Init_Lot_1_8	part_1	10	25	01/01/18 00:00:00	479	01/03/18 09:46:04	O_Init_WIP		
Init_Lot_1_9	part_1	10	25	01/01/18 00:00:00	494	01/03/18 14:04:31	O_Init_WIP		
Init_Lot_1_10	part_1	10	25	01/01/18 00:00:00	510	01/03/18 22:41:27	O_Init_WIP		
Init_Lot_1_11	part_1	10	25	01/01/18 00:00:00	479	01/04/18 02:59:54	O_Init_WIP		
Init_Lot_1_12	part_1	10	25	01/01/18 00:00:00	499	01/04/18 07:18:22	O_Init_WIP		
Init_Lot_1_13	part_1	10	25	01/01/18 00:00:00	502	01/04/18 11:36:49	O_Init_WIP		
Init_Lot_1_14	part_1	10	25	01/01/18 00:00:00	495	01/04/18 15:55:17	O_Init_WIP		
Init_Lot_1_15	part_1	10	25	01/01/18 00:00:00	492	01/04/18 20:13:45	O_Init_WIP		
Init_Lot_1_16	part_1	10	25	01/01/18 00:00:00	509	01/05/18 00:32:12	O_Init_WIP		
Init_Lot_1_17	part_1	10	25	01/01/18 00:00:00	498	01/05/18 04:50:40	O_Init_WIP		
Init_Lot_1_18	part_1	10	25	01/01/18 00:00:00	450	01/05/18 09:09:07	O_Init_WIP		
Init_Lot_1_19	part_1	10	25	01/01/18 00:00:00	497	01/05/18 13:27:35	O_Init_WIP		
Init_Lot_1_20	part_1	10	25	01/01/18 00:00:00	505	01/05/18 17:46:03	O_Init_WIP		
Init_Lot_1_21	part_1	10	25	01/01/18 00:00:00	494	01/05/18 22:04:30	O_Init_WIP		
Init_Lot_1_22	part_1	10	25	01/01/18 00:00:00	479	01/06/18 02:22:58	O_Init_WIP		
Init_Lot_1_23	part_1	10	25	01/01/18 00:00:00	491	01/06/18 06:41:25	O_Init_WIP		
Init_Lot_1_24	part_1	10	25	01/01/18 00:00:00	466	01/06/18 10:59:53	O_Init_WIP		
Init_Lot_1_25	part_1	10	25	01/01/18 00:00:00	458	01/06/18 15:18:21	O_Init_WIP		
Init_Lot_1_26	part_1	10	25	01/01/18 00:00:00	464	01/06/18 19:36:48	O_Init_WIP		
Init_Lot_1_27	part_1	10	25	01/01/18 00:00:00	458	01/06/18 23:55:16	O_Init_WIP		
Init_Lot_1_28	part_1	10	25	01/01/18 00:00:00	466	01/07/18 04:13:43	O_Init_WIP		
Init_Lot_1_29	part_1	10	25	01/01/18 00:00:00	451	01/07/18 08:32:11	O_Init_WIP		
Init_Lot_1_30	part_1	10	25	01/01/18 00:00:00	416	01/07/18 12:50:39	O_Init_WIP		
Init_Lot_1_31	part_1	10	25	01/01/18 00:00:00	458	01/07/18 17:09:06	O_Init_WIP		
Init_Lot_1_32	part_1	10	25	01/01/18 00:00:00	457	01/07/18 21:27:34	O_Init_WIP		
Init_Lot_1_33	part_1	10	25	01/01/18 00:00:00	408	01/08/18 01:46:01	O_Init_WIP		
Init_Lot_1_34	part_1	10	25	01/01/18 00:00:00	458	01/08/18 06:04:29	O_Init_WIP		
Init_Lot_1_35	part_1	10	25	01/01/18 00:00:00	458	01/08/18 10:22:57	O_Init_WIP		
Init_Lot_1_36	part_1	10	25	01/01/18 00:00:00	476	01/08/18 14:41:24	O_Init_WIP		
Init_Lot_1_37	part_1	10	25	01/01/18 00:00:00	413	01/08/18 18:59:52	O_Init_WIP		
Init_Lot_1_38	part_1	10	25	01/01/18 00:00:00	492	01/08/18 23:18:19	O_Init_WIP		
Init_Lot_1_39	part_1	10	25	01/01/18 00:00:00	416	01/09/18 03:36:47	O_Init_WIP		
Init_Lot_1_40	part_1	10	25	01/01/18 00:00:00	413	01/09/18 07:55:15	O_Init_WIP		
Init_Lot_1_41	part_1	10	25	01/01/18 00:00:00	414	01/09/18 12:13:42	O_Init_WIP		
Init_Lot_1_42	part_1	10	25	01/01/18 00:00:00	435	01/09/18 16:32:10	O_Init_WIP		
Init_Lot_1_43	part_1	10	25	01/01/18 00:00:00	458	01/09/18 20:50:37	O_Init_WIP		
Init_Lot_1_44	part_1	10	25	01/01/18 00:00:00	416	01/10/18 01:09:05	O_Init_WIP		
Init_Lot_1_45	part_1	10	25	01/01/18 00:00:00	413	01/10/18 05:27:33	O_Init_WIP		
Init_Lot_1_46	part_1	10	25	01/01/18 00:00:00	408	01/10/18 09:46:00	O_Init_WIP		
Init_Lot_1_47	part_1	10	25	01/01/18 00:00:00	408	01/10/18 14:04:28	O_Init_WIP		
Init_Lot_1_48	part_1	10	25	01/01/18 00:00:00	434	01/10/18 18:22:55	O_Init_WIP		
Init_Lot_1_49	part_1	10	25	01/01/18 00:00:00	400	01/10/18 22:41:23	O_Init_WIP		
Init_Lot_1_50	part_1	10	25	01/01/18 00:00:00	400	01/11/18 02:59:51	O_Init_WIP		
Init_Lot_1_51	part_1	10	25	01/01/18 00:00:00	400	01/11/18 07:18:18	O_Init_WIP		
Init_Lot_1_52	part_1	10	25	01/01/18 00:00:00	400	01/11/18 11:36:46	O_Init_WIP		
Init_Lot_1_53	part_1	10	25	01/01/18 00:00:00	413	01/11/18 15:55:13	O_Init_WIP		
Init_Lot_1_54	part_1	10	25	01/01/18 00:00:00	397	01/11/18 20:13:41	O_Init_WIP		
Init_Lot_1_55	part_1	10	25	01/01/18 00:00:00	400	01/12/18 00:32:09	O_Init_WIP		
Init_Lot_1_56	part_1	10	25	01/01/18 00:00:00	400	01/12/18 04:50:36	O_Init_WIP		
Init_Lot_1_57	part_1	10	25	01/01/18 00:00:00	397	01/12/18 09:09:04	O_Init_WIP		
Init_Lot_1_58	part_1	10	25	01/01/18 00:00:00	413	01/12/18 13:27:31	O_Init_WIP		
Init_Lot_1_59	part_1	10	25	01/01/18 00:00:00	400	01/12/18 17:45:59	O_Init_WIP		
Init_Lot_1_60	part_1	10	25	01/01/18 00:00:00	384	01/12/18 22:04:27	O_Init_WIP		
Init_Lot_1_61	part_1	10	25	01/01/18 00:00:00	404	01/13/18 02:22:54	O_Init_WIP		
Init_Lot_1_62	part_1	10	25	01/01/18 00:00:00	397	01/13/18 06:41:22	O_Init_WIP		
Init_Lot_1_63	part_1	10	25	01/01/18 00:00:00	395	01/13/18 10:59:49	O_Init_WIP		
Init_Lot_1_64	part_1	10	25	01/01/18 00:00:00	400	01/13/18 15:18:17	O_Init_WIP		
Init_Lot_1_65	part_1	10	25	01/01/18 00:00:00	404	01/13/18 19:36:45	O_Init_WIP		
Init_Lot_1_66	part_1	10	25	01/01/18 00:00:00	393	01/13/18 23:55:12	O_Init_WIP		
Init_Lot_1_67	part_1	10	25	01/01/18 00:00:00	404	01/14/18 04:13:40	O_Init_WIP		
Init_Lot_1_68	part_1	10	25	01/01/18 00:00:00	396	01/14/18 08:32:07	O_Init_WIP		
Init_Lot_1_69	part_1	10	25	01/01/18 00:00:00	397	01/14/18 12:50:35	O_Init_WIP		
Init_Lot_1_70	part_1	10	25	01/01/18 00:00:00	376	01/14/18 17:09:03	O_Init_WIP		
Init_Lot_1_71	part_1	10	25	01/01/18 00:00:00	397	01/14/18 21:27:30	O_Init_WIP		
Init_Lot_1_72	part_1	10	25	01/01/18 00:00:00	367	01/15/18 01:45:58	O_Init_WIP		
Init_Lot_1_73	part_1	10	25	01/01/18 00:00:00	384	01/15/18 06:04:25	O_Init_WIP		
Init_Lot_1_74	part_1	10	25	01/01/18 00:00:00	357	01/15/18 10:22:53	O_Init_WIP		
Init_Lot_1_75	part_1	10	25	01/01/18 00:00:00	376	01/15/18 14:41:21	O_Init_WIP		
Init_Lot_1_76	part_1	10	25	01/01/18 00:00:00	395	01/15/18 18:59:48	O_Init_WIP		
Init_Lot_1_77	part_1	10	25	01/01/18 00:00:00	371	01/15/18 23:18:16	O_Init_WIP		
Init_Lot_1_78	part_1	10	25	01/01/18 00:00:00	327	01/16/18 03:36:43	O_Init_WIP		
Init_Lot_1_79	part_1	10	25	01/01/18 00:00:00	376	01/16/18 07:55:11	O_Init_WIP		
Init_Lot_1_80	part_1	10	25	01/01/18 00:00:00	342	01/16/18 12:13:39	O_Init_WIP		
Init_Lot_1_81	part_1	10	25	01/01/18 00:00:00	389	01/16/18 16:32:06	O_Init_WIP		
Init_Lot_1_82	part_1	10	25	01/01/18 00:00:00	380	01/16/18 20:50:34	O_Init_WIP		
Init_Lot_1_83	part_1	10	25	01/01/18 00:00:00	375	01/17/18 01:09:01	O_Init_WIP		
Init_Lot_1_84	part_1	10	25	01/01/18 00:00:00	357	01/17/18 05:27:29	O_Init_WIP		
Init_Lot_1_85	part_1	10	25	01/01/18 00:00:00	382	01/17/18 09:45:57	O_Init_WIP		
Init_Lot_1_86	part_1	10	25	01/01/18 00:00:00	351	01/17/18 14:04:24	O_Init_WIP		
Init_Lot_1_87	part_1	10	25	01/01/18 00:00:00	384	01/17/18 18:22:52	O_Init_WIP		
Init_Lot_1_88	part_1	10	25	01/01/18 00:00:00	358	01/17/18 22:41:19	O_Init_WIP		
Init_Lot_1_89	part_1	10	25	01/01/18 00:00:00	356	01/18/18 02:59:47	O_Init_WIP		
Init_Lot_1_90	part_1	10	25	01/01/18 00:00:00	301	01/18/18 07:18:15	O_Init_WIP		
Init_Lot_1_91	part_1	10	25	01/01/18 00:00:00	300	01/18/18 11:36:42	O_Init_WIP		
Init_Lot_1_92	part_1	10	25	01/01/18 00:00:00	337	01/18/18 15:55:10	O_Init_WIP		
Init_Lot_1_93	part_1	10	25	01/01/18 00:00:00	338	01/18/18 20:13:37	O_Init_WIP		
Init_Lot_1_94	part_1	10	25	01/01/18 00:00:00	356	01/19/18 00:32:05	O_Init_WIP		
Init_Lot_1_95	part_1	10	25	01/01/18 00:00:00	351	01/19/18 04:50:33	O_Init_WIP		
Init_Lot_1_96	part_1	10	25	01/01/18 00:00:00	331	01/19/18 09:09:00	O_Init_WIP		
Init_Lot_1_97	part_1	10	25	01/01/18 00:00:00	304	01/19/18 13:27:28	O_Init_WIP		
Init_Lot_1_98	part_1	10	25	01/01/18 00:00:00	332	01/19/18 17:45:55	O_Init_WIP		
Init_Lot_1_99	part_1	10	25	01/01/18 00:00:00	301	01/19/18 22:04:23	O_Init_WIP		
Init_Lot_1_100	part_1	10	25	01/01/18 00:00:00	328	01/20/18 02:22:51	O_Init_WIP		
Init_Lot_1_101	part_1	10	25	01/01/18 00:00:00	301	01/20/18 06:41:18	O_Init_WIP		
Init_Lot_1_102	part_1	10	25	01/01/18 00:00:00	350	01/20/18 10:59:46	O_Init_WIP		
Init_Lot_1_103	part_1	10	25	01/01/18 00:00:00	304	01/20/18 15:18:13	O_Init_WIP		
Init_Lot_1_104	part_1	10	25	01/01/18 00:00:00	336	01/20/18 19:36:41	O_Init_WIP		
Init_Lot_1_105	part_1	10	25	01/01/18 00:00:00	304	01/20/18 23:55:09	O_Init_WIP		
Init_Lot_1_106	part_1	10	25	01/01/18 00:00:00	337	01/21/18 04:13:36	O_Init_WIP		
Init_Lot_1_107	part_1	10	25	01/01/18 00:00:00	304	01/21/18 08:32:04	O_Init_WIP		
Init_Lot_1_108	part_1	10	25	01/01/18 00:00:00	285	01/21/18 12:50:31	O_Init_WIP		
Init_Lot_1_109	part_1	10	25	01/01/18 00:00:00	331	01/21/18 17:08:59	O_Init_WIP		
Init_Lot_1_110	part_1	10	25	01/01/18 00:00:00	301	01/21/18 21:27:27	O_Init_WIP		
Init_Lot_1_111	part_1	10	25	01/01/18 00:00:00	304	01/22/18 01:45:54	O_Init_WIP		
Init_Lot_1_112	part_1	10	25	01/01/18 00:00:00	330	01/22/18 06:04:22	O_Init_WIP		
Init_Lot_1_113	part_1	10	25	01/01/18 00:00:00	300	01/22/18 10:22:49	O_Init_WIP		
Init_Lot_1_114	part_1	10	25	01/01/18 00:00:00	289	01/22/18 14:41:17	O_Init_WIP		
Init_Lot_1_115	part_1	10	25	01/01/18 00:00:00	285	01/22/18 18:59:45	O_Init_WIP		
Init_Lot_1_116	part_1	10	25	01/01/18 00:00:00	289	01/22/18 23:18:12	O_Init_WIP		
Init_Lot_1_117	part_1	10	25	01/01/18 00:00:00	331	01/23/18 03:36:40	O_Init_WIP		
Init_Lot_1_118	part_1	10	25	01/01/18 00:00:00	276	01/23/18 07:55:07	O_Init_WIP		
Init_Lot_1_119	part_1	10	25	01/01/18 00:00:00	289	01/23/18 12:13:35	O_Init_WIP		
Init_Lot_1_120	part_1	10	25	01/01/18 00:00:00	289	01/23/18 16:32:03	O_Init_WIP		
Init_Lot_1_121	part_1	10	25	01/01/18 00:00:00	289	01/23/18 20:50:30	O_Init_WIP		
Init_Lot_1_122	part_1	10	25	01/01/18 00:00:00	269	01/24/18 01:08:58	O_Init_WIP		
Init_Lot_1_123	part_1	10	25	01/01/18 00:00:00	291	01/24/18 05:27:25	O_Init_WIP		
Init_Lot_1_124	part_1	10	25	01/01/18 00:00:00	271	01/24/18 09:45:53	O_Init_WIP		
Init_Lot_1_125	part_1	10	25	01/01/18 00:00:00	276	01/24/18 14:04:21	O_Init_WIP		
Init_Lot_1_126	part_1	10	25	01/01/18 00:00:00	276	01/24/18 18:22:48	O_Init_WIP		
Init_Lot_1_127	part_1	10	25	01/01/18 00:00:00	269	01/24/18 22:41:16	O_Init_WIP		
Init_Lot_1_128	part_1	10	25	01/01/18 00:00:00	277	01/25/18 02:59:43	O_Init_WIP		
Init_Lot_1_129	part_1	10	25	01/01/18 00:00:00	285	01/25/18 07:18:11	O_Init_WIP		
