1.0000002035022806  days simulated in  0:00:03.807760
Machine Cnt avail util br
DE_BE_11 10 98.73 0.03 1.27
DE_BE_12 9 100.0 0.02 0.0
DE_BE_13 21 97.56 0.03 2.44
DE_BE_48 10 98.09 0.02 1.91
DE_BE_50 9 100.0 0.03 0.0
DE_BE_65 17 91.98 0.03 8.02
DE_BE_66 19 95.39 0.02 4.61
DE_BE_67 10 93.0 0.04 7.0
DE_BE_69 2 99.96 0.03 0.04
DE_FE_1 7 100.0 0.01 0.0
DE_FE_51 19 98.89 0.02 1.11
DE_FE_53 5 96.22 0.01 3.78
DE_FE_54 5 98.64 0.02 1.36
DE_FE_56 2 100.0 0.03 0.0
DE_FE_58 3 100.0 0.01 0.0
DE_FE_59 15 94.05 0.03 5.95
DE_FE_62 14 99.91 0.03 0.09
DE_FE_70 13 98.39 0.02 1.61
DE_FE_71 28 99.44 0.02 0.56
DE_FE_72 9 83.74 0.04 16.26
DE_FE_86 135 98.08 0.02 1.92
DefMEt_FE_118 2 100.0 0.06 0.0
DefMet_BE_33 2 100.0 0.04 0.0
DefMet_BE_42 1 100.0 0.05 0.0
DefMet_FE_10 2 100.0 0.14 0.0
DefMet_FE_106 1 100.0 0.01 0.0
DefMet_FE_34 2 100.0 0.11 0.0
DefMet_FE_43 6 100.0 0.12 0.0
Delay_32 400 100.0 0.01 0.0
Dielectric_BE_20 5 100.0 0.07 0.0
Dielectric_BE_21 8 99.58 0.06 0.42
Dielectric_BE_27 15 97.57 0.06 2.43
Dielectric_BE_28 4 100.0 0.05 0.0
Dielectric_BE_60 4 100.0 0.06 0.0
Dielectric_FE_112 10 93.69 0.06 6.31
Dielectric_FE_130 4 100.0 0.06 0.0
Dielectric_FE_29 3 100.0 0.04 0.0
Dielectric_FE_30 2 100.0 0.06 0.0
Dielectric_FE_31 4 100.0 0.07 0.0
Diffusion_BE_123 12 99.82 0.03 0.18
Diffusion_FE_100 2 100.0 0.04 0.0
Diffusion_FE_101 7 100.0 0.03 0.0
Diffusion_FE_120 11 98.26 0.03 1.74
Diffusion_FE_122 5 99.29 0.03 0.71
Diffusion_FE_125 4 96.06 0.01 3.94
Diffusion_FE_126 3 92.99 0.04 7.01
Diffusion_FE_127 9 96.67 0.03 3.33
Diffusion_FE_44 11 97.04 0.03 2.96
Diffusion_FE_94 11 98.77 0.03 1.23
EPI_36 2 74.39 0.04 25.61
EPI_38 1 48.15 0.07 51.85
Implant_119 2 100.0 0.05 0.0
Implant_128 10 99.04 0.12 0.96
Implant_132 8 96.22 0.11 3.78
Implant_74 2 100.0 0.02 0.0
Implant_88 2 100.0 0.08 0.0
Implant_90 2 100.0 0.08 0.0
Implant_91 6 59.71 0.13 40.29
LithoMet_BE_18 13 99.42 0.13 0.58
LithoMet_FE_19 18 99.56 0.12 0.44
LithoTrack_BE_117 5 100.0 0.05 0.0
LithoTrack_FE_115 51 90.88 0.04 9.12
LithoTrack_FE_95 49 93.93 0.04 6.07
LithoTrack_FE_96 2 100.0 0.05 0.0
Litho_BE_110 28 96.62 0.05 3.38
Litho_BE_93 3 100.0 0.06 0.0
Litho_BE_99 3 100.0 0.06 0.0
Litho_FE_111 22 88.42 0.05 11.58
Litho_FE_35 2 100.0 0.04 0.0
Litho_FE_92 33 96.3 0.05 3.7
Litho_FE_98 5 100.0 0.05 0.0
Litho_REG_BE_63 8 99.83 0.13 0.17
Litho_REG_FE_64 14 98.53 0.12 1.47
Planar_BE_75 20 99.12 0.05 0.88
Planar_FE_76 3 92.17 0.06 7.83
Planar_FE_77 2 100.0 0.07 0.0
Planar_FE_78 2 99.34 0.04 0.66
Planar_FE_79 5 100.0 0.05 0.0
Planar_FE_80 2 100.0 0.04 0.0
TF_BE_2 4 100.0 0.03 0.0
TF_BE_23 19 95.9 0.05 4.1
TF_BE_24 5 92.97 0.02 7.03
TF_BE_26 15 94.19 0.05 5.81
TF_BE_40 24 97.61 0.04 2.39
TF_FE_103 4 90.9 0.04 9.1
TF_FE_104 5 100.0 0.05 0.0
TF_FE_113 2 100.0 0.03 0.0
TF_FE_131 6 98.18 0.04 1.82
TF_FE_3 2 92.69 0.05 7.31
TF_FE_5 4 100.0 0.03 0.0
TF_Met_FE_45 2 100.0 0.02 0.0
TF_Met_FE_61 2 100.0 0.24 0.0
WE_BE_14 5 95.42 0.17 4.58
WE_BE_16 9 100.0 0.16 0.0
WE_BE_17 2 100.0 0.15 0.0
WE_BE_7 1 100.0 0.12 0.0
WE_BE_81 3 100.0 0.14 0.0
WE_BE_82 10 97.61 0.18 2.39
WE_BE_9 7 100.0 0.14 0.0
WE_FE_108 35 96.64 0.14 3.36
WE_FE_41 5 100.0 0.15 0.0
WE_FE_47 6 99.51 0.11 0.49
WE_FE_8 2 100.0 0.12 0.0
WE_FE_83 7 100.0 0.13 0.0
WE_FE_84 18 100.0 0.12 0.0
WE_FE_85 2 95.34 0.1 4.66


