2 hour simulated in  0:00:01.008562
Machine Cnt avail util br
DE_BE_11 10 100.0 88.45 0.0
DE_BE_12 9 100.0 0.0 0.0
DE_BE_13 21 100.0 84.19 0.0
DE_BE_48 10 100.0 98.06 0.0
DE_BE_50 9 100.0 19.35 0.0
DE_BE_65 17 100.0 43.12 0.0
DE_BE_66 19 100.0 77.2 0.0
DE_BE_67 10 100.0 42.37 0.0
DE_BE_69 2 100.0 55.03 0.0
DE_FE_1 7 100.0 0.0 0.0
DE_FE_51 19 100.0 19.0 0.0
DE_FE_53 5 100.0 0.0 0.0
DE_FE_54 5 100.0 82.37 0.0
DE_FE_56 2 100.0 29.58 0.0
DE_FE_58 3 100.0 74.36 0.0
DE_FE_59 15 100.0 57.84 0.0
DE_FE_62 14 100.0 7.52 0.0
DE_FE_70 13 100.0 31.53 0.0
DE_FE_71 28 100.0 26.85 0.0
DE_FE_72 9 100.0 11.65 0.0
DE_FE_86 135 100.0 19.29 0.0
DefMEt_FE_118 2 100.0 74.58 0.0
DefMet_BE_33 2 100.0 75.3 0.0
DefMet_BE_42 1 100.0 90.96 0.0
DefMet_FE_10 2 100.0 87.33 0.0
DefMet_FE_106 1 100.0 77.94 0.0
DefMet_FE_34 2 100.0 73.3 0.0
DefMet_FE_43 6 100.0 91.52 0.0
Delay_32 400 100.0 8.64 0.0
Dielectric_BE_20 5 100.0 81.22 0.0
Dielectric_BE_21 8 100.0 84.34 0.0
Dielectric_BE_27 15 100.0 77.82 0.0
Dielectric_BE_28 4 100.0 73.28 0.0
Dielectric_BE_60 4 100.0 86.6 0.0
Dielectric_FE_112 10 100.0 82.44 0.0
Dielectric_FE_130 4 100.0 88.83 0.0
Dielectric_FE_29 3 100.0 77.44 0.0
Dielectric_FE_30 2 100.0 83.96 0.0
Dielectric_FE_31 4 100.0 91.89 0.0
Diffusion_BE_123 12 100.0 0.0 0.0
Diffusion_FE_100 2 100.0 0.0 0.0
Diffusion_FE_101 7 100.0 0.0 0.0
Diffusion_FE_120 11 100.0 0.0 0.0
Diffusion_FE_122 5 100.0 0.0 0.0
Diffusion_FE_125 4 100.0 0.0 0.0
Diffusion_FE_126 3 100.0 0.0 0.0
Diffusion_FE_127 9 100.0 0.0 0.0
Diffusion_FE_44 11 100.0 0.0 0.0
Diffusion_FE_94 11 100.0 0.0 0.0
EPI_36 2 100.0 1.42 0.0
EPI_38 1 100.0 1.76 0.0
Implant_119 2 100.0 3.21 0.0
Implant_128 10 100.0 7.09 0.0
Implant_132 8 100.0 3.86 0.0
Implant_74 2 100.0 0.0 0.0
Implant_88 2 100.0 0.36 0.0
Implant_90 2 100.0 6.5 0.0
Implant_91 6 100.0 4.7 0.0
LithoMet_BE_18 13 100.0 91.29 0.0
LithoMet_FE_19 18 100.0 90.31 0.0
LithoTrack_BE_117 5 100.0 16.1 0.0
LithoTrack_FE_115 51 100.0 7.65 0.0
LithoTrack_FE_95 49 100.0 9.49 0.0
LithoTrack_FE_96 2 100.0 0.0 0.0
Litho_BE_110 28 100.0 11.62 0.0
Litho_BE_93 3 100.0 10.93 0.0
Litho_BE_99 3 100.0 32.51 0.0
Litho_FE_111 22 100.0 16.71 0.0
Litho_FE_35 2 100.0 10.13 0.0
Litho_FE_92 33 100.0 18.27 0.0
Litho_FE_98 5 100.0 19.33 0.0
Litho_REG_BE_63 8 100.0 89.26 0.0
Litho_REG_FE_64 14 100.0 87.87 0.0
Planar_BE_75 20 100.0 69.14 0.0
Planar_FE_76 3 100.0 92.7 0.0
Planar_FE_77 2 100.0 71.61 0.0
Planar_FE_78 2 100.0 0.0 0.0
Planar_FE_79 5 100.0 63.83 0.0
Planar_FE_80 2 100.0 81.41 0.0
TF_BE_2 4 100.0 53.5 0.0
TF_BE_23 19 100.0 60.68 0.0
TF_BE_24 5 100.0 58.19 0.0
TF_BE_26 15 100.0 58.36 0.0
TF_BE_40 24 100.0 63.56 0.0
TF_FE_103 4 100.0 74.44 0.0
TF_FE_104 5 100.0 57.48 0.0
TF_FE_113 2 100.0 65.42 0.0
TF_FE_131 6 100.0 22.94 0.0
TF_FE_3 2 100.0 67.58 0.0
TF_FE_5 4 100.0 40.38 0.0
TF_Met_FE_45 2 100.0 21.29 0.0
TF_Met_FE_61 2 100.0 95.84 0.0
WE_BE_14 5 100.0 3.63 0.0
WE_BE_16 9 100.0 4.77 0.0
WE_BE_17 2 100.0 3.06 0.0
WE_BE_7 1 100.0 1.12 0.0
WE_BE_81 3 100.0 4.22 0.0
WE_BE_82 10 100.0 9.6 0.0
WE_BE_9 7 100.0 7.08 0.0
WE_FE_108 35 100.0 3.62 0.0
WE_FE_41 5 100.0 3.07 0.0
WE_FE_47 6 100.0 4.24 0.0
WE_FE_8 2 100.0 6.0 0.0
WE_FE_83 7 100.0 4.83 0.0
WE_FE_84 18 100.0 3.67 0.0
WE_FE_85 2 100.0 3.85 0.0


