4 hour simulated in  0:00:01.046206
Machine Cnt avail util br
DE_BE_11 10 100.0 77.46 0.0
DE_BE_12 9 100.0 70.45 0.0
DE_BE_13 21 100.0 83.56 0.0
DE_BE_48 10 100.0 73.63 0.0
DE_BE_50 9 100.0 63.18 0.0
DE_BE_65 17 100.0 70.75 0.0
DE_BE_66 19 100.0 74.46 0.0
DE_BE_67 10 100.0 84.82 0.0
DE_BE_69 2 100.0 82.71 0.0
DE_FE_1 7 100.0 56.11 0.0
DE_FE_51 19 100.0 56.94 0.0
DE_FE_53 5 100.0 68.66 0.0
DE_FE_54 5 100.0 81.52 0.0
DE_FE_56 2 100.0 75.05 0.0
DE_FE_58 3 100.0 61.82 0.0
DE_FE_59 15 100.0 76.41 0.0
DE_FE_62 14 100.0 78.63 0.0
DE_FE_70 13 100.0 83.27 0.0
DE_FE_71 28 100.0 67.06 0.0
DE_FE_72 9 100.0 84.06 0.0
DE_FE_86 135 100.0 65.82 0.0
DefMEt_FE_118 2 100.0 37.87 0.0
DefMet_BE_33 2 100.0 92.58 0.0
DefMet_BE_42 1 100.0 95.34 0.0
DefMet_FE_10 2 100.0 70.48 0.0
DefMet_FE_106 1 100.0 39.04 0.0
DefMet_FE_34 2 100.0 59.05 0.0
DefMet_FE_43 6 100.0 95.83 0.0
Delay_32 400 100.0 38.13 0.0
Dielectric_BE_20 5 100.0 85.55 0.0
Dielectric_BE_21 8 100.0 94.59 0.0
Dielectric_BE_27 15 100.0 81.08 0.0
Dielectric_BE_28 4 100.0 82.6 0.0
Dielectric_BE_60 4 100.0 91.83 0.0
Dielectric_FE_112 10 100.0 90.85 0.0
Dielectric_FE_130 4 100.0 85.98 0.0
Dielectric_FE_29 3 100.0 97.37 0.0
Dielectric_FE_30 2 100.0 97.31 0.0
Dielectric_FE_31 4 100.0 92.61 0.0
Diffusion_BE_123 12 100.0 0.0 0.0
Diffusion_FE_100 2 100.0 0.0 0.0
Diffusion_FE_101 7 100.0 0.0 0.0
Diffusion_FE_120 11 100.0 0.0 0.0
Diffusion_FE_122 5 100.0 0.0 0.0
Diffusion_FE_125 4 100.0 0.0 0.0
Diffusion_FE_126 3 100.0 0.0 0.0
Diffusion_FE_127 9 100.0 0.0 0.0
Diffusion_FE_44 11 100.0 0.0 0.0
Diffusion_FE_94 11 100.0 0.0 0.0
EPI_36 2 100.0 0.89 0.0
EPI_38 1 100.0 2.2 0.0
Implant_119 2 100.0 2.08 0.0
Implant_128 10 100.0 5.03 0.0
Implant_132 8 100.0 3.36 0.0
Implant_74 2 100.0 0.85 0.0
Implant_88 2 100.0 1.43 0.0
Implant_90 2 100.0 5.06 0.0
Implant_91 6 100.0 4.63 0.0
LithoMet_BE_18 13 100.0 95.49 0.0
LithoMet_FE_19 18 100.0 95.0 0.0
LithoTrack_BE_117 5 100.0 10.1 0.0
LithoTrack_FE_115 51 100.0 4.92 0.0
LithoTrack_FE_95 49 100.0 5.94 0.0
LithoTrack_FE_96 2 100.0 0.77 0.0
Litho_BE_110 28 100.0 7.09 0.0
Litho_BE_93 3 100.0 6.26 0.0
Litho_BE_99 3 100.0 18.56 0.0
Litho_FE_111 22 100.0 10.88 0.0
Litho_FE_35 2 100.0 5.42 0.0
Litho_FE_92 33 100.0 10.19 0.0
Litho_FE_98 5 100.0 11.54 0.0
Litho_REG_BE_63 8 100.0 94.33 0.0
Litho_REG_FE_64 14 100.0 93.48 0.0
Planar_BE_75 20 100.0 82.53 0.0
Planar_FE_76 3 100.0 77.67 0.0
Planar_FE_77 2 100.0 90.13 0.0
Planar_FE_78 2 100.0 52.63 0.0
Planar_FE_79 5 100.0 92.58 0.0
Planar_FE_80 2 100.0 87.89 0.0
TF_BE_2 4 100.0 59.9 0.0
TF_BE_23 19 100.0 49.37 0.0
TF_BE_24 5 100.0 28.8 0.0
TF_BE_26 15 100.0 65.26 0.0
TF_BE_40 24 100.0 67.48 0.0
TF_FE_103 4 100.0 73.85 0.0
TF_FE_104 5 100.0 86.64 0.0
TF_FE_113 2 100.0 49.75 0.0
TF_FE_131 6 100.0 34.33 0.0
TF_FE_3 2 100.0 99.06 0.0
TF_FE_5 4 100.0 26.98 0.0
TF_Met_FE_45 2 100.0 10.68 0.0
TF_Met_FE_61 2 100.0 97.92 0.0
WE_BE_14 5 100.0 3.49 0.0
WE_BE_16 9 100.0 4.33 0.0
WE_BE_17 2 100.0 3.72 0.0
WE_BE_7 1 100.0 0.58 0.0
WE_BE_81 3 100.0 4.06 0.0
WE_BE_82 10 100.0 6.4 0.0
WE_BE_9 7 100.0 5.33 0.0
WE_FE_108 35 100.0 4.21 0.0
WE_FE_41 5 100.0 3.99 0.0
WE_FE_47 6 100.0 3.2 0.0
WE_FE_8 2 100.0 4.9 0.0
WE_FE_83 7 100.0 4.08 0.0
WE_FE_84 18 100.0 4.21 0.0
WE_FE_85 2 100.0 2.4 0.0


