lot	product	step	tool	machine	start_time	end_time
367	3	430	de_be_50	50	0.0	5060.0
610	3	336	dielectric_fe_29	828	0.0	2802.0
1702	4	228	tf_be_26	1265	0.0	4569.0
679	3	300	lithotrack_fe_95	1152	0.0	164.0
2142	4	48	defmet_fe_34	370	0.0	1513.0
34	3	577	litho_be_110	947	0.0	148.0
46	3	567	litho_be_110	948	0.0	146.0
1126	3	139	defmet_fe_43	372	0.0	1715.0
1058	3	163	implant_128	917	0.0	53.0
1065	3	164	de_fe_86	227	0.0	9267.0
1124	3	140	de_fe_59	148	0.0	9383.0
993	3	192	implant_91	941	0.0	56.0
1753	4	210	litho_fe_92	1005	0.0	199.0
1063	3	166	we_fe_108	1368	0.0	52.0
1987	4	121	litho_fe_92	1006	0.0	153.0
404	3	426	lithotrack_fe_95	1153	0.0	114.0
934	3	225	implant_91	942	0.0	75.0
157	3	411	we_be_16	1336	0.0	42.0
1407	3	9	we_fe_84	1423	0.0	54.0
6	3	559	de_be_48	40	0.0	7043.0
1389	3	13	lithomet_fe_19	1078	0.0	1686.0
958	3	216	epi_36	912	0.0	52.0
1877	4	164	litho_fe_111	981	0.0	186.0
1864	4	164	litho_fe_111	982	0.0	186.0
1067	3	158	litho_fe_111	983	0.0	186.0
1618	4	267	de_be_13	19	0.0	6463.0
857	3	252	de_fe_62	163	0.0	10126.0
1336	3	44	de_fe_86	228	0.0	6302.0
244	3	480	de_be_13	20	0.0	6463.0
653	3	331	de_fe_86	229	0.0	8529.0
968	3	225	implant_91	943	0.0	75.0
221	3	499	de_be_65	59	0.0	5528.0
448	3	373	dielectric_fe_130	824	0.0	2961.0
2089	4	75	lithomet_fe_19	1079	0.0	1705.0
594	3	339	dielectric_fe_31	833	0.0	3331.0
2179	4	35	litho_fe_92	1007	0.0	133.0
455	3	373	dielectric_fe_130	825	0.0	2961.0
799	3	256	dielectric_fe_31	834	0.0	2235.0
441	3	379	dielectric_be_20	778	0.0	2018.0
11	3	555	lithotrack_fe_95	1154	0.0	164.0
1177	3	117	de_fe_71	190	0.0	5998.0
