lot	product	step	tool	machine	start_time	end_time
336	3	437	lithotrack_fe_95	1152	0.0	149.0
1094	3	158	litho_fe_111	981	0.0	186.0
1312	3	57	litho_fe_111	982	0.0	115.0
1568	4	276	we_be_82	1351	0.0	52.0
1310	3	57	litho_fe_111	983	0.0	115.0
289	3	446	lithomet_be_18	1065	0.0	1567.0
1284	3	71	litho_fe_98	1038	0.0	198.0
2086	4	75	lithomet_fe_19	1078	0.0	1705.0
607	3	338	we_fe_108	1368	0.0	67.0
1767	4	177	dielectric_fe_130	824	0.0	3195.0
612	3	339	dielectric_fe_31	833	0.0	3331.0
1128	3	115	litho_reg_fe_64	1051	0.0	1517.0
230	3	496	litho_be_110	947	0.0	165.0
1814	4	185	litho_fe_92	1005	0.0	155.0
1630	4	255	litho_reg_be_63	1043	0.0	1186.0
1303	3	49	we_fe_8	1414	0.0	65.0
1896	4	141	litho_fe_111	984	0.0	120.0
134	3	530	dielectric_be_21	783	0.0	2152.0
587	3	339	dielectric_fe_31	834	0.0	3331.0
366	3	403	we_be_7	1347	0.0	41.0
1998	4	108	litho_fe_92	1006	0.0	183.0
2232	4	4	we_fe_84	1423	0.0	68.0
672	3	305	litho_fe_111	985	0.0	186.0
1912	4	164	litho_fe_111	986	0.0	186.0
434	3	389	litho_fe_92	1007	0.0	128.0
503	3	348	lithotrack_fe_115	1101	0.0	99.0
1265	3	76	we_fe_108	1369	0.0	47.0
1377	3	12	litho_fe_92	1008	0.0	158.0
509	3	373	dielectric_fe_130	825	0.0	2961.0
1317	3	49	we_fe_8	1415	0.0	65.0
1106	3	151	litho_fe_35	1003	0.0	121.0
1185	3	112	litho_fe_92	1009	0.0	183.0
1115	3	144	defmet_fe_10	365	0.0	1754.0
107	3	551	dielectric_be_28	806	0.0	2751.0
616	3	333	we_fe_41	1403	0.0	44.0
1739	4	191	litho_reg_fe_64	1052	0.0	1659.0
286	3	454	we_be_82	1352	0.0	44.0
1553	4	295	dielectric_be_27	791	0.0	2886.0
919	3	247	implant_119	915	0.0	69.0
1458	4	331	we_be_82	1353	0.0	57.0
1323	3	52	dielectric_fe_112	814	0.0	2155.0
1216	3	101	planar_fe_77	1226	0.0	2586.0
451	3	377	dielectric_be_27	792	0.0	3561.0
2007	4	107	lithotrack_fe_115	1102	0.0	160.0
2136	4	53	dielectric_fe_112	815	0.0	2155.0
683	3	305	litho_fe_111	987	0.0	186.0
19	3	578	lithomet_be_18	1066	0.0	1503.0
502	3	373	dielectric_fe_130	826	0.0	2961.0
2091	4	75	lithomet_fe_19	1079	0.0	1705.0
1708	4	226	dielectric_be_20	778	0.0	3051.0
1138	3	133	lithotrack_fe_115	1103	0.0	98.0
597	3	339	dielectric_fe_31	835	0.0	3331.0
1861	4	169	we_fe_108	1370	0.0	66.0
