lot	product	step	tool	machine	start_time	end_time
919	3	300	lithotrack_fe_95	1063	0.0	164.0
619	2	264	litho_fe_111	920	0.0	186.0
906	3	291	lithotrack_fe_95	1064	0.0	102.0
766	3	544	de_be_13	16	0.0	4719.0
235	1	92	delay_32	327	0.0	14400.0
630	2	241	tf_fe_3	1204	0.0	4822.0
1985	9	331	de_be_11	0	0.0	4637.0
1262	5	216	planar_be_75	1105	0.0	3189.0
278	10	379	lithotrack_fe_95	1065	0.0	164.0
1451	6	166	we_be_17	1227	0.0	71.0
219	1	106	we_fe_8	1286	0.0	47.0
1697	7	86	litho_fe_111	921	0.0	190.0
1189	4	133	de_fe_59	129	0.0	9383.0
495	2	476	dielectric_be_21	732	0.0	2152.0
474	10	17	de_fe_1	92	0.0	8114.0
719	2	89	planar_fe_77	1121	0.0	2586.0
977	3	178	delay_32	328	0.0	7200.0
540	2	417	tf_be_40	1166	0.0	4196.0
671	2	170	implant_128	859	0.0	58.0
423	10	119	we_fe_84	1294	0.0	69.0
1177	4	160	de_fe_70	154	0.0	4298.0
45	1	412	lithotrack_fe_95	1066	0.0	114.0
1952	9	366	de_be_48	29	0.0	7043.0
1820	8	246	dielectric_be_27	738	0.0	3561.0
2012	9	262	dielectric_be_27	739	0.0	3561.0
1032	3	78	litho_fe_111	922	0.0	166.0
741	2	29	de_fe_86	194	0.0	5060.0
1455	6	146	lithotrack_fe_115	1022	0.0	195.0
1424	6	225	dielectric_be_21	733	0.0	2574.0
401	10	170	dielectric_fe_112	759	0.0	3013.0
223	1	117	de_fe_71	165	0.0	5998.0
1536	6	14	lithomet_fe_19	1003	0.0	1074.0
1187	4	124	de_fe_71	166	0.0	10247.0
170	1	226	epi_38	856	0.0	64.0
1713	7	35	de_fe_71	167	0.0	9844.0
1225	4	38	de_fe_71	168	0.0	9844.0
290	10	362	lithotrack_fe_95	1067	0.0	178.0
909	3	308	de_fe_70	155	0.0	8900.0
166	1	226	epi_38	856	64.0	128.0
673	2	172	de_fe_86	195	0.0	6257.0
2004	9	279	de_be_12	9	0.0	10202.0
2000	9	278	delay_32	329	0.0	7200.0
1517	6	59	de_fe_86	196	0.0	9947.0
1679	7	122	implant_74	877	0.0	49.0
1436	6	224	dielectric_be_27	740	0.0	2016.0
592	2	264	litho_fe_111	923	0.0	186.0
1560	7	315	litho_be_110	890	0.0	156.0
1024	3	104	dielectric_fe_30	775	0.0	2005.0
342	10	276	delay_32	330	0.0	7200.0
908	3	308	de_fe_70	156	0.0	8900.0
1661	7	153	de_fe_59	130	0.0	4164.0
936	3	283	implant_90	881	0.0	69.0
1126	4	241	de_be_11	1	0.0	6892.0
1399	6	266	dielectric_be_27	741	0.0	2888.0
1460	6	144	we_fe_85	1311	0.0	46.0
252	1	35	de_fe_71	169	0.0	9844.0
466	10	23	diffusion_fe_44	834	0.0	20999.0
1620	7	182	we_fe_108	1247	0.0	53.0
1832	8	204	tf_fe_103	1183	0.0	5052.0
747	2	20	de_fe_1	93	0.0	8114.0
1704	7	81	de_fe_71	170	0.0	10247.0
1352	5	54	planar_fe_77	1122	0.0	2586.0
1903	8	66	litho_fe_111	924	0.0	186.0
1535	6	34	we_fe_108	1248	0.0	52.0
1022	3	101	planar_fe_77	1121	2586.0	5172.0
602	2	267	de_fe_70	157	0.0	8900.0
954	3	241	delay_32	331	0.0	14400.0
1408	6	267	dielectric_be_28	750	0.0	2751.0
93	1	336	we_fe_41	1276	0.0	51.0
1039	3	37	de_fe_59	131	0.0	6506.0
1933	8	23	diffusion_fe_44	835	0.0	20999.0
2070	9	141	epi_38	856	128.0	192.0
1603	7	239	de_be_12	10	0.0	10202.0
1351	5	64	lithotrack_fe_115	1023	0.0	160.0
341	10	269	litho_reg_be_63	972	0.0	1559.0
1266	5	217	dielectric_be_27	742	0.0	3277.0
644	2	232	de_fe_59	132	0.0	4164.0
228	1	100	diffusion_fe_127	826	0.0	19064.0
1218	4	43	delay_32	332	0.0	10800.0
901	3	316	delay_32	333	0.0	14400.0
1429	6	207	dielectric_be_21	734	0.0	2275.0
265	1	17	de_fe_1	94	0.0	8114.0
1445	6	174	tf_be_24	1149	0.0	5216.0
1751	8	345	tf_be_26	1153	0.0	3633.0
1891	8	122	delay_32	334	0.0	7200.0
1016	3	128	de_fe_71	171	0.0	10247.0
696	2	130	litho_fe_111	925	0.0	120.0
207	1	154	litho_fe_111	926	0.0	120.0
913	3	300	lithotrack_fe_95	1068	0.0	164.0
1931	8	37	litho_fe_111	927	0.0	166.0
749	2	21	de_fe_86	197	0.0	9767.0
1254	5	234	dielectric_be_28	751	0.0	2090.0
508	2	521	dielectric_be_28	752	0.0	2090.0
917	3	300	lithotrack_fe_95	1069	0.0	164.0
501	2	505	de_be_48	30	0.0	7043.0
718	2	88	diffusion_fe_127	827	0.0	19064.0
36	1	475	dielectric_be_21	735	0.0	2574.0
1231	4	38	de_fe_71	172	0.0	9844.0
1316	5	127	lithotrack_fe_95	1070	0.0	102.0
1575	7	266	lithotrack_be_117	1017	0.0	171.0
2134	9	27	litho_fe_111	928	0.0	166.0
83	1	379	de_be_50	40	0.0	4192.0
853	3	421	dielectric_be_20	727	0.0	3051.0
1290	5	196	dielectric_be_27	743	0.0	2016.0
1283	5	196	dielectric_be_27	744	0.0	2016.0
227	1	100	diffusion_fe_127	828	0.0	19064.0
1497	6	64	litho_fe_111	929	0.0	186.0
1295	5	137	litho_fe_111	930	0.0	186.0
