lot	product	step	tool	machine	start_time	end_time
6	1	0	tf_met_fe_45	4	0.0	588.0
3	2	2	we_fe_83	8	0.0	62.0
7	2	2	we_fe_83	9	0.0	62.0
4	1	0	tf_met_fe_45	5	0.0	588.0
8	1	0	tf_met_fe_45	4	588.0	1176.0
5	2	1	we_fe_108	6	0.0	59.0
1	2	1	we_fe_108	7	0.0	59.0
0	1	0	tf_met_fe_45	5	588.0	1176.0
9	2	1	we_fe_108	6	59.0	118.0
2	1	0	tf_met_fe_45	4	1176.0	1764.0
6	1	1	we_fe_108	7	588.0	647.0
3	2	3	we_fe_84	10	62.0	116.0
7	2	3	we_fe_84	11	62.0	116.0
4	1	1	we_fe_108	6	588.0	647.0
8	1	1	we_fe_108	6	1176.0	1235.0
5	2	2	we_fe_83	8	62.0	124.0
1	2	2	we_fe_83	9	62.0	124.0
0	1	1	we_fe_108	7	1176.0	1235.0
9	2	2	we_fe_83	8	124.0	186.0
2	1	1	we_fe_108	6	1764.0	1823.0
6	1	2	we_fe_83	9	647.0	709.0
3	2	4	litho_fe_111	0	116.0	231.0
7	2	4	litho_fe_111	1	116.0	231.0
4	1	2	we_fe_83	8	647.0	709.0
8	1	2	we_fe_83	8	1235.0	1297.0
5	2	3	we_fe_84	10	124.0	178.0
1	2	3	we_fe_84	11	124.0	178.0
0	1	2	we_fe_83	9	1235.0	1297.0
9	2	3	we_fe_84	10	186.0	240.0
2	1	2	we_fe_83	8	1823.0	1885.0
6	1	3	we_fe_84	11	709.0	763.0
4	1	3	we_fe_84	10	709.0	763.0
8	1	3	we_fe_84	10	1297.0	1351.0
5	2	4	litho_fe_111	0	231.0	346.0
1	2	4	litho_fe_111	1	231.0	346.0
0	1	3	we_fe_84	11	1297.0	1351.0
9	2	4	litho_fe_111	0	346.0	461.0
2	1	3	we_fe_84	10	1885.0	1939.0
6	1	4	lithotrack_fe_115	2	763.0	893.0
4	1	4	lithotrack_fe_115	3	763.0	893.0
8	1	4	lithotrack_fe_115	2	1351.0	1481.0
0	1	4	lithotrack_fe_115	3	1351.0	1481.0
2	1	4	lithotrack_fe_115	2	1939.0	2069.0
