current_time 86401.76187506322
Machine Cnt avail util br
DE_BE_11 10 99.08 0.03 0.92
DE_BE_12 9 100.0 0.02 0.0
DE_BE_13 21 99.09 0.03 0.91
DE_BE_48 10 96.66 0.02 3.34
DE_BE_50 9 100.0 0.03 0.0
DE_BE_65 17 95.19 0.03 4.81
DE_BE_66 19 96.6 0.02 3.4
DE_BE_67 10 95.75 0.04 4.25
DE_BE_69 2 99.96 0.03 0.04
DE_FE_1 7 100.0 0.01 0.0
DE_FE_51 19 97.71 0.02 2.29
DE_FE_53 5 92.92 0.01 7.08
DE_FE_54 5 99.95 0.02 0.05
DE_FE_56 2 100.0 0.03 0.0
DE_FE_58 3 100.0 0.01 0.0
DE_FE_59 15 95.97 0.03 4.03
DE_FE_62 14 99.25 0.03 0.75
DE_FE_70 13 98.56 0.02 1.44
DE_FE_71 28 99.22 0.02 0.78
DE_FE_72 9 90.27 0.04 9.73
DE_FE_86 135 96.19 0.02 3.81
DefMEt_FE_118 2 100.0 0.05 0.0
DefMet_BE_33 2 100.0 0.04 0.0
DefMet_BE_42 1 100.0 0.06 0.0
DefMet_FE_10 2 100.0 0.14 0.0
DefMet_FE_106 1 100.0 0.0 0.0
DefMet_FE_34 2 100.0 0.11 0.0
DefMet_FE_43 6 100.0 0.12 0.0
Delay_32 400 100.0 0.01 0.0
Dielectric_BE_20 5 100.0 0.07 0.0
Dielectric_BE_21 8 96.9 0.07 3.1
Dielectric_BE_27 15 98.8 0.06 1.2
Dielectric_BE_28 4 100.0 0.05 0.0
Dielectric_BE_60 4 100.0 0.06 0.0
Dielectric_FE_112 10 92.48 0.07 7.52
Dielectric_FE_130 4 100.0 0.07 0.0
Dielectric_FE_29 3 100.0 0.04 0.0
Dielectric_FE_30 2 100.0 0.06 0.0
Dielectric_FE_31 4 100.0 0.07 0.0
Diffusion_BE_123 12 99.68 0.03 0.32
Diffusion_FE_100 2 100.0 0.04 0.0
Diffusion_FE_101 7 100.0 0.03 0.0
Diffusion_FE_120 11 98.62 0.03 1.38
Diffusion_FE_122 5 99.41 0.03 0.59
Diffusion_FE_125 4 96.67 0.01 3.33
Diffusion_FE_126 3 93.23 0.04 6.77
Diffusion_FE_127 9 95.9 0.03 4.1
Diffusion_FE_44 11 99.46 0.03 0.54
Diffusion_FE_94 11 98.62 0.03 1.38
EPI_36 2 57.84 0.05 42.16
EPI_38 1 96.37 0.04 3.63
Implant_119 2 100.0 0.05 0.0
Implant_128 10 96.28 0.12 3.72
Implant_132 8 94.91 0.11 5.09
Implant_74 2 100.0 0.02 0.0
Implant_88 2 100.0 0.08 0.0
Implant_90 2 100.0 0.08 0.0
Implant_91 6 61.74 0.12 38.26
LithoMet_BE_18 13 99.63 0.13 0.37
LithoMet_FE_19 18 99.64 0.12 0.36
LithoTrack_BE_117 5 100.0 0.05 0.0
LithoTrack_FE_115 51 89.64 0.04 10.36
LithoTrack_FE_95 49 90.3 0.05 9.7
LithoTrack_FE_96 2 100.0 0.05 0.0
Litho_BE_110 28 98.42 0.05 1.58
Litho_BE_93 3 100.0 0.06 0.0
Litho_BE_99 3 100.0 0.06 0.0
Litho_FE_111 22 89.87 0.05 10.13
Litho_FE_35 2 100.0 0.04 0.0
Litho_FE_92 33 98.47 0.05 1.53
Litho_FE_98 5 100.0 0.05 0.0
Litho_REG_BE_63 8 99.1 0.13 0.9
Litho_REG_FE_64 14 98.77 0.11 1.23
Planar_BE_75 20 99.69 0.05 0.31
Planar_FE_76 3 94.04 0.06 5.96
Planar_FE_77 2 100.0 0.07 0.0
Planar_FE_78 2 98.12 0.04 1.88
Planar_FE_79 5 100.0 0.05 0.0
Planar_FE_80 2 100.0 0.04 0.0
TF_BE_2 4 100.0 0.03 0.0
TF_BE_23 19 97.5 0.05 2.5
TF_BE_24 5 91.94 0.02 8.06
TF_BE_26 15 95.09 0.05 4.91
TF_BE_40 24 97.97 0.04 2.03
TF_FE_103 4 96.62 0.03 3.38
TF_FE_104 5 100.0 0.05 0.0
TF_FE_113 2 100.0 0.03 0.0
TF_FE_131 6 98.18 0.04 1.82
TF_FE_3 2 47.59 0.1 52.41
TF_FE_5 4 100.0 0.03 0.0
TF_Met_FE_45 2 100.0 0.02 0.0
TF_Met_FE_61 2 100.0 0.23 0.0
WE_BE_14 5 90.18 0.18 9.82
WE_BE_16 9 100.0 0.16 0.0
WE_BE_17 2 100.0 0.15 0.0
WE_BE_7 1 100.0 0.12 0.0
WE_BE_81 3 100.0 0.14 0.0
WE_BE_82 10 97.87 0.18 2.13
WE_BE_9 7 100.0 0.14 0.0
WE_FE_108 35 98.7 0.14 1.3
WE_FE_41 5 100.0 0.15 0.0
WE_FE_47 6 95.49 0.12 4.51
WE_FE_8 2 100.0 0.12 0.0
WE_FE_83 7 100.0 0.14 0.0
WE_FE_84 18 100.0 0.12 0.0
WE_FE_85 2 62.63 0.16 37.37
