Toolgroup Machineid availableat
DE_BE_11 0 86400
DE_BE_11 1 86400
DE_BE_11 2 86400
DE_BE_11 3 86400
DE_BE_11 4 86400
DE_BE_11 5 86400
DE_BE_11 6 86400
DE_BE_11 7 86400
DE_BE_11 8 86400
DE_BE_11 9 86400
DE_BE_12 10 86400
DE_BE_12 11 86400
DE_BE_12 12 86400
DE_BE_12 13 86400
DE_BE_12 14 86400
DE_BE_12 15 86400
DE_BE_12 16 86400
DE_BE_12 17 86400
DE_BE_12 18 86400
DE_BE_13 19 86400
DE_BE_13 20 86400
DE_BE_13 21 86400
DE_BE_13 22 86400
DE_BE_13 23 86400
DE_BE_13 24 86400
DE_BE_13 25 86400
DE_BE_13 26 86400
DE_BE_13 27 86400
DE_BE_13 28 86400
DE_BE_13 29 86400
DE_BE_13 30 86400
DE_BE_13 31 86400
DE_BE_13 32 86400
DE_BE_13 33 86400
DE_BE_13 34 86400
DE_BE_13 35 86400
DE_BE_13 36 86400
DE_BE_13 37 86400
DE_BE_13 38 86400
DE_BE_13 39 86400
DE_BE_48 40 86400
DE_BE_48 41 86400
DE_BE_48 42 86400
DE_BE_48 43 86400
DE_BE_48 44 86400
DE_BE_48 45 86400
DE_BE_48 46 86400
DE_BE_48 47 86400
DE_BE_48 48 86400
DE_BE_48 49 86400
DE_BE_50 50 86400
DE_BE_50 51 86400
DE_BE_50 52 86400
DE_BE_50 53 86400
DE_BE_50 54 86400
DE_BE_50 55 86400
DE_BE_50 56 86400
DE_BE_50 57 86400
DE_BE_50 58 86400
DE_BE_65 59 86400
DE_BE_65 60 86400
DE_BE_65 61 86400
DE_BE_65 62 86400
DE_BE_65 63 86400
DE_BE_65 64 86400
DE_BE_65 65 86400
DE_BE_65 66 86400
DE_BE_65 67 86400
DE_BE_65 68 86400
DE_BE_65 69 86400
DE_BE_65 70 86400
DE_BE_65 71 86400
DE_BE_65 72 86400
DE_BE_65 73 86400
DE_BE_65 74 86400
DE_BE_65 75 86400
DE_BE_66 76 86400
DE_BE_66 77 86400
DE_BE_66 78 86400
DE_BE_66 79 86400
DE_BE_66 80 86400
DE_BE_66 81 86400
DE_BE_66 82 86400
DE_BE_66 83 86400
DE_BE_66 84 86400
DE_BE_66 85 86400
DE_BE_66 86 86400
DE_BE_66 87 86400
DE_BE_66 88 86400
DE_BE_66 89 86400
DE_BE_66 90 86400
DE_BE_66 91 86400
DE_BE_66 92 86400
DE_BE_66 93 86400
DE_BE_66 94 86400
DE_BE_67 95 86400
DE_BE_67 96 86400
DE_BE_67 97 86400
DE_BE_67 98 86400
DE_BE_67 99 86400
DE_BE_67 100 86400
DE_BE_67 101 86400
DE_BE_67 102 86400
DE_BE_67 103 86400
DE_BE_67 104 86400
DE_BE_69 105 86400
DE_BE_69 106 86400
DE_FE_1 107 86400
DE_FE_1 108 86400
DE_FE_1 109 86400
DE_FE_1 110 86400
DE_FE_1 111 86400
DE_FE_1 112 86400
DE_FE_1 113 86400
DE_FE_51 114 86400
DE_FE_51 115 86400
DE_FE_51 116 86400
DE_FE_51 117 86400
DE_FE_51 118 86400
DE_FE_51 119 86400
DE_FE_51 120 86400
DE_FE_51 121 86400
DE_FE_51 122 86400
DE_FE_51 123 86400
DE_FE_51 124 86400
DE_FE_51 125 86400
DE_FE_51 126 86400
DE_FE_51 127 86400
DE_FE_51 128 86400
DE_FE_51 129 86400
DE_FE_51 130 86400
DE_FE_51 131 86400
DE_FE_51 132 86400
DE_FE_53 133 86400
DE_FE_53 134 86400
DE_FE_53 135 86400
DE_FE_53 136 86400
DE_FE_53 137 86400
DE_FE_54 138 86400
DE_FE_54 139 86400
DE_FE_54 140 86400
DE_FE_54 141 86400
DE_FE_54 142 86400
DE_FE_56 143 86400
DE_FE_56 144 86400
DE_FE_58 145 86400
DE_FE_58 146 86400
DE_FE_58 147 86400
DE_FE_59 148 86400
DE_FE_59 149 86400
DE_FE_59 150 86400
DE_FE_59 151 86400
DE_FE_59 152 86400
DE_FE_59 153 86400
DE_FE_59 154 86400
DE_FE_59 155 86400
DE_FE_59 156 86400
DE_FE_59 157 86400
DE_FE_59 158 86400
DE_FE_59 159 86400
DE_FE_59 160 86400
DE_FE_59 161 86400
DE_FE_59 162 86400
DE_FE_62 163 86400
DE_FE_62 164 86400
DE_FE_62 165 86400
